"technique","true_positives","false_positives","true_negatives","false_negatives","FDR","n_true_do_called","n_consensus_peaks","n_true_do","it","prop.do","symmetry","constant.background","equal.DNA.bind","equal.lib.size","prop.consensus","more.background.cond","FDR.threshold","condA_rep1","condA_rep2","condA_rep3","condA_rep4","condA_rep5","condA_rep6","condA_rep7","condA_rep8","condA_rep9","condA_rep10","condB_rep1","condB_rep2","condB_rep3","condB_rep4","condB_rep5","condB_rep6","condB_rep7","condB_rep8","condB_rep9","condB_rep10"
"Oracle",432,45,9455,68,0.0943396226415094,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.13706865240033,1.24127602237678,0.8764003255301,1.06793674103599,1.20096897386711,0.729050539890388,1.10724548724039,0.917289969459515,1.02478108947606,1.08166474513289,0.982053562381488,1.19107047823496,0.916025824010663,0.882449003262143,0.90313393067847,0.805349208455096,1.08572811152001,0.932366094793515,0.899171415143679,1.22680831793415
"LIB_PEAKS",402,47,9453,98,0.10467706013363,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.08681884360726,1.18022462002274,0.856874170489256,1.01917326213415,1.14121608997887,0.724877419199992,1.06396180783963,0.895881056615138,0.995573175433914,1.04949532950569,1.00158662745046,1.19539962701145,0.931636272951869,0.908667450760752,0.924922511870526,0.836287385469261,1.09860409169544,0.946114258711758,0.919532104773141,1.22315389447871
"TMM_PEAKS",409,42,9458,91,0.0931263858093126,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.08908977924134,1.18669955228379,0.860621399742468,1.03240560728064,1.15016805253471,0.727577841525201,1.07009751412232,0.905176085049722,1.00391868540254,1.05119309644092,1.00132998350743,1.18223742734093,0.922725414998064,0.908642439806548,0.920484814707375,0.827485372573755,1.09093565286339,0.940837483590748,0.91048994407069,1.21881467463621
"RLE_PEAKS",409,45,9455,91,0.0991189427312775,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.12010030041302,1.21244441555776,0.88336341726458,1.05730629968933,1.17982676456268,0.745810444681943,1.10337303136937,0.924864326351299,1.0317134628363,1.07949944039869,1.02648436635524,1.21627033315264,0.950943730717256,0.930589532301081,0.947709272163598,0.85704974258406,1.12261186437243,0.965255493916156,0.936892757094574,1.25473886350573
"LIB_BINS",298,484,9016,202,0.618925831202046,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.929620393001861,0.942248619950434,0.903142944300496,0.921480069524902,0.936469710093952,0.88681180306079,0.929734273731511,0.908388083001182,0.920278771073296,0.927569823637158,1.08035120781213,1.10283423620369,1.0712090562182,1.06940809335842,1.06971607269018,1.0596005631617,1.09177903159785,1.07249827202556,1.07040114764559,1.10645782791112
"TMM_BINS",297,483,9017,203,0.619230769230769,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.929716281045093,0.941805874014473,0.903574305870741,0.920938287346442,0.936965103509992,0.887079783513661,0.928839542594198,0.908031280682554,0.921359002149906,0.92643066028867,1.08088346591849,1.10297422758071,1.07203406157866,1.0694821889193,1.06853203752111,1.06128289631356,1.09185734679691,1.07310389007259,1.07006503868721,1.10512877478287
"RLE_BINS",297,483,9017,203,0.619230769230769,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.934041095444451,0.947051840378938,0.906947229795774,0.927224109461402,0.941643075908478,0.891773543101052,0.934970134970802,0.913545385894523,0.924044468531619,0.93162527742025,1.0880014304193,1.10847632750389,1.07787526903979,1.07499403100536,1.07464383875024,1.0649436335876,1.09685128318474,1.07784813825324,1.07734772290531,1.11217575178577
"DBA_NORM_OFFSETS_ADJUST",396,49,9451,104,0.110112359550562,500,10000,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAnorm2",308,14,9100,192,0.0434782608695652,490,9604,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oracle",877,73,8926,123,0.0768421052631579,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,0.900285867978706,1.08115158878682,1.15204751266276,1.24531148473704,0.715088215184417,0.884077207290317,0.77629154432985,1.22943323832754,1.20350062222096,1.10893987062779,0.845093011684881,0.876689343252832,1.20233391479484,0.973235108806257,1.0003762649556,1.27347745580327,0.751394017085738,0.872209688503649,1.00015530991389,1.22841985302679
"LIB_PEAKS",830,150,8849,170,0.153061224489796,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,0.874548536956844,1.03894532729161,1.09287875406118,1.17452854043434,0.711995929930327,0.866013828158213,0.764678457169111,1.16072575761177,1.12894040053446,1.05014445209082,0.863161777228017,0.890161550100402,1.20545435083407,0.983441128111233,1.01491554730518,1.26908224896725,0.776308248806776,0.888513936718422,1.01966360452418,1.2258976231658
"TMM_PEAKS",860,99,8900,140,0.103232533889468,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,0.893290605222154,1.05025932489186,1.11199194589913,1.18981708648827,0.723135632333462,0.877010904027802,0.774011096594538,1.17823224187673,1.14302617242522,1.05772026597325,0.850025059657652,0.876183013636986,1.18626297996551,0.969317023338312,1.00328405956341,1.25014528510975,0.767523184836998,0.878702545718321,1.00519458052343,1.21112828731932
"RLE_PEAKS",859,103,8896,141,0.107068607068607,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,0.919030293487177,1.085657164223,1.145190539709,1.22838905779134,0.74568071642456,0.90480351591361,0.802237712027766,1.21098538510422,1.18082031199481,1.09354107809497,0.87897876835105,0.905270288378061,1.22584084197638,1.00565779360777,1.03423143340886,1.28981910780327,0.794026403994826,0.905966034788615,1.04286137724234,1.2516883328847
"LIB_BINS",914,176,8823,86,0.161467889908257,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.06569477121684,1.08512226100093,1.09123757894441,1.10150810049898,1.04588759520318,1.06407129150723,1.05334094984995,1.09801187589426,1.09541141413322,1.08589899881408,0.903890372013728,0.90668112911232,0.944534163932686,0.919641833423583,0.919313700588683,0.950399312245155,0.89466502770285,0.905784461823124,0.923142580255906,0.945762581838866
"TMM_BINS",914,183,8816,86,0.166818596171376,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.0654457234451,1.08601574841294,1.09208094633328,1.10135018398898,1.04742134443676,1.06544402839068,1.05511315932183,1.09874503576716,1.09625612805722,1.08558592692917,0.903637327282818,0.906416291803916,0.942692776265511,0.919439483301614,0.91928797948516,0.948520212550808,0.895544607854833,0.905381858621806,0.92228972299141,0.944187060296516
"RLE_BINS",914,184,8815,86,0.167577413479053,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.07193245076685,1.09322215611269,1.09671268180581,1.10682190500379,1.05346388352417,1.06925396427127,1.06142765118399,1.10596339415584,1.10152783336532,1.09287872296735,0.908683937153435,0.912457954484682,0.946501812681491,0.924279422346252,0.922559620545124,0.95361199038597,0.900535596288305,0.9089641763095,0.926868910493209,0.948265184068393
"DBA_NORM_OFFSETS_ADJUST",784,135,8864,216,0.14689880304679,1000,9999,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAnorm2",516,46,8567,484,0.0818505338078292,979,9592,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oracle",1393,120,8378,107,0.0793126239259749,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.39225671961216,0.960753151616533,1.14970696555179,1.22320146710768,1.00149394957553,1.14078351257127,0.950130835554929,0.844914843394419,1.14607519818103,1.27492223000944,0.684791790915143,0.666089175754198,0.730269919923258,0.773153340875649,1.02185703298354,1.24333557074159,0.859577611539458,1.13397771410199,1.21927031557509,1.02007215806855
