technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,72,12,9382,428,0.14285714285714285,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8480896090479156,0.9851723022264032,1.0527320415628298,1.1369155929684165
LIB_PEAKS,56,11,9383,444,0.16417910447761194,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.839355557150431,0.9532753467503513,1.0705678348100078,1.1368012612892098
TMM_PEAKS,65,12,9382,435,0.15584415584415584,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8429757821132758,0.9598484573779362,1.0619762777410957,1.1332624124974755
RLE_PEAKS,65,12,9382,435,0.15584415584415584,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8580276350495886,0.9810564065810506,1.0819073826568228,1.1540125253538565
LIB_BINS,10,2,9392,490,0.16666666666666666,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9000849524280403,0.914893256693848,1.0889424508831942,1.0960793399949176
TMM_BINS,10,2,9392,490,0.16666666666666666,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8998600645757592,0.9139990591278732,1.0895080997465862,1.096856107372416
RLE_BINS,10,2,9392,490,0.16666666666666666,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9034148745852869,0.9181752937466464,1.0961725182248123,1.1030204995079063
DBA_NORM_OFFSETS_ADJUST,42,9,9385,458,0.17647058823529413,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
MAnorm2,0,0,9394,500,NA,9894,500,1,0.9887,7.074994946432181e-4,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
Oracle,140,24,8897,860,0.14634146341463414,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.011443708536326,0.9095903797687,0.9096670382741217,1.1948956110054012
LIB_PEAKS,104,25,8896,896,0.1937984496124031,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.9784832749328042,0.8883107471046002,0.9353759446109681,1.1978300333516274
TMM_PEAKS,129,26,8895,871,0.16774193548387098,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.9900138670437668,0.9001254005013586,0.9230781087823596,1.1839053180922776
RLE_PEAKS,135,24,8897,865,0.1509433962264151,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0089510697364077,0.91585075026815,0.9403182403165373,1.206262295183247
LIB_BINS,336,89,8832,664,0.20941176470588235,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0789118175130743,1.0676301494905562,0.911037776651162,0.9424202563452074
TMM_BINS,336,89,8832,664,0.20941176470588235,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0801924105558691,1.0686393479016096,0.9109851254752279,0.9404684025286842
RLE_BINS,336,89,8832,664,0.20941176470588235,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0841515871572915,1.0731864977465986,0.9136546138839027,0.9447125383686538
DBA_NORM_OFFSETS_ADJUST,89,28,8893,911,0.23931623931623933,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA
MAnorm2,1,0,8921,999,0,9921,1000,1,0.9918,3.023888720895071e-4,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA
Oracle,401,51,8352,1099,0.11283185840707964,9903,1500,1,0.9897,6.058770069675856e-4,1,0.15000000000000002,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.9754549228385392,1.1762061351723163,0.7669033201055239,1.1364981597861683
