technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,186,33,9315,314,0.1506849315068493,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,1.3678408556435098,0.8729213807491517,0.9604104834622216,0.9807964393678008,0.8396768199464525,1.058866871524662
LIB_PEAKS,144,32,9316,356,0.18181818181818182,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,1.2896154815428422,0.8494074260320532,0.9259205142768359,0.99901191860524,0.8706996397481276,1.0653450197949015
TMM_PEAKS,166,26,9322,334,0.13541666666666666,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,1.2968015145980958,0.8574452800234531,0.9330290629943119,0.9925702590389746,0.863426781209824,1.0571033376360217
RLE_PEAKS,165,26,9322,335,0.13612565445026178,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,1.324111339177671,0.8712569116292027,0.9553254864942469,1.014729956789705,0.8860003416802428,1.084928719633205
LIB_BINS,25,53,9295,475,0.6794871794871795,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9544967916287967,0.9018184131499741,0.9109087732903225,1.0801686147619967,1.0643197320050566,1.0882876751638537
TMM_BINS,28,53,9295,472,0.654320987654321,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9529947586905203,0.9030882971284163,0.9106856188692349,1.0791167207010337,1.0654979011938273,1.0885931816958907
RLE_BINS,28,56,9292,472,0.6666666666666666,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9569183738853805,0.9070752575152429,0.9146490430767894,1.0847930735477895,1.0686029016559278,1.0939531088990835
DBA_NORM_OFFSETS_ADJUST,150,24,9324,350,0.13793103448275862,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,0,0,9348,500,NA,9847,500,0.998,0.9847,0,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
Oracle,464,47,8666,536,0.09197651663405088,9710,1000,0.997,0.971,0,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8253079597560513,1.3388349937023294,1.2168391321693324,1.0378470985611346,0.8057824196154432,0.889349735153516
