technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,237,36,9475,263,0.13186813186813187,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8419469810816773,0.7910254885693275,0.8276035027391588,1.1334446254620156,1.2606853494755998,1.1316577820624347,1.1268845698109449,0.9956367037345056
LIB_PEAKS,233,38,9473,267,0.14022140221402213,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8394315434563498,0.7895119188487943,0.8201088177985096,1.1000542090314938,1.233510399853811,1.119863143609881,1.1115274342975525,0.9859925331036078
TMM_PEAKS,257,36,9475,243,0.12286689419795221,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8472752322349313,0.7959624173228816,0.8288237727354253,1.1064178573836627,1.223381023318343,1.112167410160694,1.1024369934858,0.9757689439155829
RLE_PEAKS,252,37,9474,248,0.12802768166089964,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8676702043175535,0.8155398310708878,0.8510162785674108,1.133444353606971,1.2599296113974905,1.1441218262471087,1.1308601289494742,1.0002578995531062
LIB_BINS,406,992,8519,94,0.709585121602289,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0601151467046261,1.0543056125897434,1.0571654841267228,1.0918291272906742,0.9479326217706981,0.9353887595865041,0.9347041253024119,0.9185591226286193
TMM_BINS,408,1025,8486,92,0.7152826238660154,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0624139186644115,1.055276542605077,1.0584634209877277,1.0924702284302725,0.9467998409105349,0.9339146248811042,0.9331960241565639,0.9180881167470939
RLE_BINS,409,1035,8476,91,0.7167590027700831,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0665601613873852,1.0605286063726913,1.0630806811560407,1.0977180160946203,0.9480953066261885,0.9392346182744,0.9366180969928746,0.921178483494137
DBA_NORM_OFFSETS_ADJUST,189,36,9475,311,0.16,500,10011,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,31,2,9356,469,0.06060606060606061,497,9855,500,1,0.05,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,535,53,8955,465,0.09013605442176871,1000,10008,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.2074125591028837,0.7920876771595382,1.095443912403317,1.0999856302191031,1.2978541133261856,0.730964863215024,1.0531628303428244,0.8685123413404713
LIB_PEAKS,471,64,8944,529,0.11962616822429907,1000,10008,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.1396566718630632,0.7881572988361732,1.0469083643346588,1.049035040858722,1.2769248989396607,0.7593597402445577,1.056925702034524,0.8830322828886408
TMM_PEAKS,515,60,8948,485,0.10434782608695652,1000,10008,1000,1,0.1,FALSE,FALSE,FALSE,TRUE,0.75,A,0.05,1.155141771611726,0.7958064200657539,1.0610288427050079,1.0679422365962496,1.2561724243378245,0.7489213993198562,1.043406226839083,0.8730979485908152
