technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condA_rep5,condA_rep6,condA_rep7,condA_rep8,condA_rep9,condA_rep10,condB_rep1,condB_rep2,condB_rep3,condB_rep4,condB_rep5,condB_rep6,condB_rep7,condB_rep8,condB_rep9,condB_rep10
Oracle,438,52,9448,62,0.10612244897959183,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8197963630792008,1.1533117685500025,0.7959637265651193,0.7714419900498969,1.0736671410119183,1.1648633092548355,0.8966458637069784,0.8229184381443371,1.0727325509728038,0.8973722605009617,1.1203417641456472,0.8245423240595282,1.319779870318906,1.219072821987778,1.158649621604058,1.178018552282888,1.116233421317098,0.7838467502405589,0.9945031226518984,1.0984316820056086
LIB_PEAKS,432,62,9438,68,0.12550607287449392,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8095320652110761,1.1086868311274822,0.7845334015036196,0.7654971589258532,1.0336201907993354,1.1181910084941726,0.8801236361101105,0.811592047316376,1.0336648113503526,0.8738339976062933,1.1172093563717915,0.8400079015559093,1.2990306650088892,1.2086071183722795,1.1496745256161471,1.1625549913431483,1.1038138951184653,0.809258764336095,0.9962541977015769,1.0943134361310265
TMM_PEAKS,438,56,9444,62,0.11336032388663968,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8171453995297715,1.1197815307208703,0.7913734067276353,0.7719723162263756,1.0472663567050737,1.1240051772260298,0.884555257993921,0.8137950317737345,1.0358404027874488,0.8803066512933649,1.1083752489534757,0.8350867261605767,1.2911103829655417,1.1988663575265581,1.1415939018110022,1.1569762440396054,1.095715046372588,0.8031969313278471,0.9857050556536522,1.0871957695227663
RLE_PEAKS,438,55,9445,62,0.11156186612576065,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8439636056016974,1.1477622616576413,0.8152883443847486,0.796431063418007,1.0798003722282576,1.1565783662821674,0.9163908426258272,0.8418113549843658,1.0731080302543257,0.9112001563295192,1.141706966509579,0.8609991083297136,1.3287598344391578,1.2410075613470275,1.1793196627613862,1.1939699355314302,1.1345251308236488,0.8314848308630479,1.0261367634769756,1.1236893499902232
LIB_BINS,450,95,9405,50,0.1743119266055046,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.976204757096094,1.0118680136656328,0.9742763312200622,0.9716773543132973,1.0028867714925287,1.0152939377700045,0.9867834884894738,0.9780730306002512,1.0038563093946122,0.9852782986463695,1.013235346105654,0.9805856247565863,1.0348996665832915,1.0263605936486886,1.017353909980595,1.0208699640323329,1.012829859952952,0.9762345374506941,0.9997480010060238,1.0116842037948555
TMM_BINS,456,87,9413,44,0.16022099447513813,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9759107362025031,1.013778640298949,0.9742630403424312,0.971813181489275,1.00293019504996,1.0145002691152165,0.9871046712259235,0.9789070188033393,1.0056507405069184,0.9874175465428983,1.0128698957663207,0.9797988244314375,1.0330834365310722,1.0269158047539544,1.0158420463535902,1.021260243895359,1.0117482578160557,0.9760375931671464,0.9991930849285491,1.0108796098805644
RLE_BINS,449,96,9404,51,0.1761467889908257,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.978612059888742,1.013427218482464,0.9775653028569227,0.9736773988018302,1.0046993365674872,1.0189933030278577,0.9891709311358434,0.9813637500467443,1.0075044848164358,0.9889538325476699,1.0154957262395774,0.9831547257552732,1.0353475921462312,1.0287883173639694,1.019492773837252,1.024099272691775,1.0133345102721936,0.9772131242743665,1.004433253040704,1.0142264648698491
DBA_NORM_OFFSETS_ADJUST,408,71,9429,92,0.14822546972860126,500,10000,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,319,15,9059,181,0.04491017964071856,482,9556,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,894,80,8919,106,0.08213552361396304,1000,9999,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8735283482299594,1.119759154118366,0.6822158446477191,1.0816553554721569,0.9395642087920844,1.1420906183427406,1.3549047051950178,0.7909758941726838,0.8148170771203128,1.5350857099850033,0.8872294837973209,0.9180376044657668,1.2160236996460965,0.9199043780233502,1.110763998934836,1.0946189277507037,0.9787341427685188,0.7864478664521154,0.9859096147046348,1.145666460892003
