technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,57,8,9374,443,0.12307692307692308,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7113930887267115,1.2668025458318342,0.9962010251015644,1.1138698445430877
LIB_PEAKS,5,7,9375,495,0.5833333333333334,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7104617751681603,1.1985953383968992,0.9960027939473914,1.094940092487549
TMM_PEAKS,58,8,9374,442,0.12121212121212122,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7137240194348483,1.20903291732197,0.9886722618982677,1.0885375833115611
RLE_PEAKS,51,7,9375,449,0.1206896551724138,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7383016902144748,1.2424954573553226,1.018140725085885,1.1200826249553386
LIB_BINS,5,1,9381,495,0.16666666666666666,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9663632537716634,1.0234913371234817,0.9985344348110096,1.0116109742938453
TMM_BINS,5,1,9381,495,0.16666666666666666,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9679266530509525,1.0229726393411926,0.9980007683077972,1.0110294687406058
RLE_BINS,14,1,9381,486,0.06666666666666667,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9692335703554896,1.0246761772851358,0.9991565059600824,1.013718422250939
DBA_NORM_OFFSETS_ADJUST,42,3,9379,458,0.06666666666666667,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,8,4,9378,492,0.3333333333333333,9880,500,0.996,0.9871,9.109311740890688e-4,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,159,23,8870,841,0.12637362637362637,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8867710744390105,1.029728410647117,0.9439758770272572,1.160125278914596
LIB_PEAKS,112,18,8875,888,0.13846153846153847,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8609550575618646,0.991449610366351,0.9741618620542387,1.1734334700175455
TMM_PEAKS,117,17,8876,883,0.12686567164179105,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8752865026963631,1.0019586322529244,0.9635854123195814,1.1546503281455585
RLE_PEAKS,117,17,8876,883,0.12686567164179105,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.888234727047982,1.0168468026204938,0.9809189165028995,1.1747105899012962
LIB_BINS,191,25,8868,809,0.11574074074074074,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9833089103036792,0.998322066054597,0.9981826096473526,1.0201864139943713
TMM_BINS,192,25,8868,808,0.1152073732718894,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9840134113024124,0.999711282092548,0.9977269608036906,1.018504286651218
RLE_BINS,196,23,8870,804,0.1050228310502283,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9858597614563247,0.9990720934819012,1.0011146395111556,1.0196489709446328
DBA_NORM_OFFSETS_ADJUST,102,20,8873,898,0.16393442622950818,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,1,1,8892,999,0.5,9892,1000,0.999,0.9885,7.076425394257986e-4,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
