technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,192,30,9304,308,0.13513513513513514,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.310068497850677,0.8629452074858188,1.4123502869165223,1.0106462064775563,0.8045109043221564,0.7702811455739381
LIB_PEAKS,166,34,9300,334,0.17,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2369524211647107,0.8421697087075648,1.323087231689239,0.9993767525964817,0.8188020615812494,0.7796118242607543
TMM_PEAKS,155,27,9307,345,0.14835164835164835,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2507384873899823,0.8459327566268884,1.3313974668558402,0.9944965791292447,0.8138384183259286,0.7712161470100474
RLE_PEAKS,161,28,9306,339,0.14814814814814814,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2902537655426556,0.8771849655587872,1.375899143599512,1.0291301969410864,0.8427750379300718,0.8025726357894201
LIB_BINS,29,58,9276,471,0.6666666666666666,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0300273267741586,0.9799309671545596,1.0421097992170418,0.998634301817229,0.9767074503817185,0.9725901546552925
TMM_BINS,29,56,9278,471,0.6588235294117647,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0303443728994934,0.9808604585664876,1.0414314599842929,0.9981144925702419,0.9767188220234828,0.9724971011519953
RLE_BINS,29,58,9276,471,0.6666666666666666,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0324299815300968,0.9808315955465381,1.0428687826519547,1.0010741547515902,0.9791649795578636,0.9740888692682066
DBA_NORM_OFFSETS_ADJUST,151,26,9308,349,0.14689265536723164,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,3,0,9334,497,0,9834,500,1,0.9834,0,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,418,58,8825,582,0.12184873949579832,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1253183475561483,1.267225221501712,0.9376719710426614,0.8663398748172921,1.1495019643846316,0.7509686997980517
LIB_PEAKS,296,65,8818,704,0.18005540166204986,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0653925384936487,1.1872384688741902,0.9043657244475818,0.8957269250218048,1.1629052565847302,0.7843710865780444
TMM_PEAKS,384,48,8835,616,0.1111111111111111,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.076942021899106,1.205938257319991,0.9151500537130015,0.8816192752432168,1.1508271014374278,0.7750547475540805
RLE_PEAKS,387,46,8837,613,0.10623556581986143,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1021657868802703,1.2334007336715482,0.9343479918535307,0.9060223711379387,1.1771256436076134,0.7974031192174332
LIB_BINS,121,35,8848,879,0.22435897435897437,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0077286710014515,1.0245657454019426,0.9883586667043247,0.9870811584240247,1.021581504823053,0.9706842536452035
TMM_BINS,118,37,8846,882,0.23870967741935484,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0078903609736465,1.0247645378790418,0.988612628266728,0.9874665610322665,1.0193379427801708,0.9718467086584476
RLE_BINS,118,33,8850,882,0.2185430463576159,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0101704928871473,1.025397495821525,0.9904402419365264,0.9872638594640374,1.0210484994582467,0.9727836100050442
DBA_NORM_OFFSETS_ADJUST,345,47,8836,655,0.11989795918367346,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,5,1,8882,995,0.16666666666666666,9882,1000,0.999,0.9882,0,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,812,55,8377,688,0.06343713956170703,9928,1500,0.9973333333333333,0.9928,0,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8473538911543773,1.2004468598414424,1.1987967116235252,0.957043931808709,0.8650217703459687,0.9905759448805566
