technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,245,27,9479,255,0.09926470588235294,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.979802215623915,0.7418992330264553,1.118878489923844,0.9103693809055384,0.7667290155174022,1.2990201696359034,1.4264980490284798,0.9505765985122931
LIB_PEAKS,244,27,9479,256,0.0996309963099631,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.944158699487295,0.7293134334869661,1.0665080350431677,0.8865477898973226,0.7814800912162131,1.2649151142065889,1.3850376689513135,0.9420391677111329
TMM_PEAKS,242,31,9475,258,0.11355311355311355,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9519217317366709,0.736002090345716,1.0725433737092833,0.8905785260276936,0.7764771990516627,1.2559827647944353,1.3685901230952522,0.9401175926410021
RLE_PEAKS,237,28,9478,263,0.10566037735849057,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.985459534469757,0.7627651773982298,1.1122045438058719,0.9208971509721142,0.8087996500607803,1.3041502921723145,1.4253414405232752,0.9740172907976925
LIB_BINS,240,23,9483,260,0.08745247148288973,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9930743745513617,0.966025336192945,1.007452537520844,0.9863583482622218,0.9734598476450441,1.0321324635210036,1.0481291854816321,0.9933679068249475
TMM_BINS,246,25,9481,254,0.09225092250922509,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9933722619636657,0.9668706870109645,1.0075536051320912,0.9881586135595811,0.9742028351757713,1.0297598998850817,1.0466833573143177,0.9931894638364057
RLE_BINS,240,23,9483,260,0.08745247148288973,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9953963107063596,0.9695262511579471,1.0090612394372502,0.9888857964145437,0.9760422068250414,1.0325224423749635,1.049161492692315,0.9963718452207468
DBA_NORM_OFFSETS_ADJUST,236,21,9485,264,0.08171206225680934,500,10006,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,27,1,9321,473,0.03571428571428571,494,9816,500,1,0.05,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,621,75,8932,379,0.10775862068965517,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.017174868671942,0.9701066768066016,0.952236181464284,1.2483793993399015,0.9381770974317766,0.8443565817892453,1.0276312133980887,1.047238513131382
LIB_PEAKS,448,85,8922,552,0.15947467166979362,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9711799402837995,0.9397555835845032,0.9229621664808287,1.1813320365311568,0.968637660555187,0.8810658755831225,1.0567072943839313,1.0783594425974707
TMM_PEAKS,553,69,8938,447,0.11093247588424437,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9873863751403847,0.953326689361617,0.9348861171484679,1.1974178038793664,0.9543283372274558,0.8672327916878357,1.0447774187619276,1.0621060666549123
RLE_PEAKS,547,70,8937,453,0.11345218800648298,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0055679017965218,0.9696443564571994,0.9510458822714437,1.2222342724438426,0.972095864381262,0.8818590315918321,1.0654224769190919,1.0885042931890316
LIB_BINS,467,67,8940,533,0.1254681647940075,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9951569708677441,0.9926178842782456,0.9902066316094192,1.0226592465656361,0.9958848814496758,0.9864568366030344,1.0075760167145784,1.0094415319116663
TMM_BINS,468,67,8940,532,0.1252336448598131,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9954480132940071,0.9927273576455535,0.9921218202523786,1.0229022122003095,0.9957546522293491,0.9856923898023509,1.0061704001744662,1.0091685412974762
RLE_BINS,469,67,8940,531,0.125,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9966596176952938,0.9951699309084363,0.993684284926303,1.0243199941852315,0.9965154333540767,0.9869880469207389,1.0090991570671637,1.0125957527803648
DBA_NORM_OFFSETS_ADJUST,461,72,8935,539,0.1350844277673546,1000,10007,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,102,7,8844,898,0.06422018348623854,986,9837,1000,1,0.1,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,877,95,8418,623,0.09773662551440329,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1576410893985971,1.076734919710972,0.8951274314396245,0.7599044899619313,0.9604401649130836,1.0906364956293966,0.9466572589645232,1.1894064313694244
LIB_PEAKS,613,144,8369,887,0.190224570673712,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0738454293521627,1.0076333572568799,0.8513573899457875,0.7382136424614167,1.002956233121985,1.1173853403867686,0.9838721321825494,1.2247364752924501
TMM_PEAKS,755,120,8393,745,0.13714285714285715,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.093456500309616,1.0240197683536814,0.8633904775513405,0.753029308163942,0.9850298418169814,1.0997557962930382,0.9670671699362439,1.2041297217546272
RLE_PEAKS,708,116,8397,792,0.1407766990291262,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1260623635269673,1.04501358444269,0.8867977875064539,0.7711978382498875,1.0186764957386576,1.1285123079724755,0.9980786826721597,1.2365103967252054
LIB_BINS,933,77,8436,567,0.07623762376237624,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0077311651442469,1.0003162396144936,0.980705324719776,0.9683022377578419,1.001652870472184,1.0161514841705714,0.9975376471901375,1.0276030309307487
TMM_BINS,933,76,8437,567,0.0753221010901883,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0079836863173712,1.000782831778021,0.9820082121076326,0.9698533371184573,1.0006451683900037,1.0149426757943196,0.9985429021715034,1.025082845496125
RLE_BINS,932,76,8437,568,0.07539682539682539,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0091164586323507,1.003967273160281,0.9815961703100085,0.9724585648432181,1.0020128639053019,1.0164244744228825,1.0003852997048135,1.029136445934095
DBA_NORM_OFFSETS_ADJUST,555,143,8370,945,0.20487106017191978,1500,10013,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,114,5,8342,1386,0.04201680672268908,1488,9835,1500,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1290,84,7919,710,0.0611353711790393,2000,10003,2000,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2690485168415604,0.632693457034092,1.0809792983032085,1.298910590234253,0.794614246457926,1.1399925717779953,1.0416401639087467,0.9400602960885732
