technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,136,27,9379,364,0.1656441717791411,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9031583392578963,0.98748567087923,1.0393828547160848,1.078772216254843
LIB_PEAKS,139,28,9378,361,0.16766467065868262,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9166761986769875,0.9853963501398689,1.033276629310337,1.0646508218728066
TMM_PEAKS,136,28,9378,364,0.17073170731707318,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9071274515004182,0.9832530337160171,1.043351542078109,1.06779144658536
RLE_PEAKS,136,30,9376,364,0.18072289156626506,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9144666597320523,0.992053418894199,1.0561809522111,1.0806137379192202
LIB_BINS,227,132,9274,273,0.36768802228412256,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0710605878898818,1.0792402931113976,0.9240411540795048,0.9256579649192159
TMM_BINS,233,133,9273,267,0.3633879781420765,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0716218169071414,1.0789507526889621,0.9251059275511244,0.9243563169951875
RLE_BINS,227,132,9274,273,0.36768802228412256,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.074292018336593,1.0844629074337693,0.9290660909279529,0.928299425743919
DBA_NORM_OFFSETS_ADJUST,125,25,9381,375,0.16666666666666666,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
MAnorm2,66,2,9404,434,0.029411764705882353,9903,500,0.994,0.9899,4.0391800464505703e-4,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
Oracle,328,47,8884,672,0.12533333333333332,9929,1000,0.998,0.9924,5.035753852351697e-4,1,0.1,FALSE,FALSE,TRUE,TRUE,0.75,B,0.05,0.7764297290000557,1.0809357881623196,1.1753617565833538,1.0137395548813997
