technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,192,33,9274,308,0.14666666666666667,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0209868867138114,0.8376322341112806,0.9529884498518066,1.0859021994426403,1.1029667902913405,1.02443797274776
LIB_PEAKS,225,33,9274,275,0.12790697674418605,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.022403661302956,0.8548314232905376,0.9615260009830742,1.0664955277965549,1.0831511291036637,1.011592257523214
TMM_PEAKS,196,39,9268,304,0.16595744680851063,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0160391388815122,0.8471168979715905,0.9556145633101105,1.0744566048475799,1.090088281074487,1.0193666149978833
RLE_PEAKS,196,39,9268,304,0.16595744680851063,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.027115718291019,0.8629299057843316,0.9722822350801071,1.0880596452981537,1.1106049020985316,1.0376860587974643
LIB_BINS,367,377,8930,133,0.5067204301075269,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0834920910138457,1.061895628113294,1.0771130665337365,0.9272151121418019,0.9283641637497878,0.9219199384475341
TMM_BINS,365,376,8931,135,0.5074224021592443,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0826163540556915,1.0617521595072659,1.0773718400207974,0.926845964819291,0.929168162635141,0.9221375541678588
RLE_BINS,366,376,8931,134,0.5067385444743935,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0890325831539198,1.0673098119295692,1.0821740402099536,0.931234561740616,0.9338300809383931,0.9258429577743693
DBA_NORM_OFFSETS_ADJUST,183,34,9273,317,0.15668202764976957,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,97,5,9302,403,0.049019607843137254,9806,500,0.998,0.9806,0,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA
Oracle,513,65,8799,487,0.11245674740484429,9864,1000,1,0.9864,0,1,0.1,FALSE,FALSE,TRUE,TRUE,0.75,B,0.05,0.901307025355357,1.0301932325728829,0.933979031941458,0.921794123870228,1.2255642654133525,1.0207077211808533
