technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,313,18,9488,187,0.054380664652567974,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.261280314124689,0.8756922343438739,0.96094544894719,1.245865313018666,0.982572615045162,0.773672775501168,1.0245799854222617,0.9709552553201324
LIB_PEAKS,300,25,9481,200,0.07692307692307693,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.234619270940657,0.8836101918355086,0.9603633537912436,1.2159676874406276,0.9723938959849217,0.7766461591031532,0.9940210660878597,0.962378374816029
TMM_PEAKS,276,27,9479,224,0.0891089108910891,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.2197049808571463,0.8745662937840432,0.9540706861000201,1.2074076818980914,0.9836085473887602,0.783324920057536,1.0045680276356241,0.9676819497623071
RLE_PEAKS,275,29,9477,225,0.09539473684210527,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.2486306801811757,0.9014057633187287,0.9800844476173027,1.233204752098703,1.004853883122212,0.8031805459716629,1.0316822050816634,0.9948249279848135
LIB_BINS,310,12,9494,190,0.037267080745341616,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1068211749905823,1.0663731757759838,1.0766794054544577,1.1051330669774766,0.9155035301223353,0.8947540947142922,0.9188893110111398,0.9158462409537323
TMM_BINS,307,12,9494,193,0.03761755485893417,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1053493079390688,1.067734173558563,1.0752048044987523,1.1032178013283946,0.9167556366049904,0.8953669377608243,0.9191309667597096,0.9166213128749201
RLE_BINS,309,12,9494,191,0.037383177570093455,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1121898590922799,1.0741673595566996,1.082895682955724,1.110698928383879,0.9211757046396879,0.9007689884575767,0.9245714241563635,0.9225068701402191
DBA_NORM_OFFSETS_ADJUST,302,18,9488,198,0.05625,500,10006,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,128,5,9335,372,0.03759398496240601,493,9833,500,1,0.05,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,591,76,8929,409,0.11394302848575712,1000,10005,1000,1,0.1,FALSE,FALSE,TRUE,TRUE,0.75,A,0.05,1.092776195784197,0.9700975078194736,0.7366418768524007,1.1303449867339947,1.013703281901547,1.1841001985326882,0.8930424296377474,1.0568529613245845
