technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condA_rep5,condA_rep6,condA_rep7,condA_rep8,condA_rep9,condA_rep10,condB_rep1,condB_rep2,condB_rep3,condB_rep4,condB_rep5,condB_rep6,condB_rep7,condB_rep8,condB_rep9,condB_rep10
Oracle,430,46,9454,70,0.09663865546218488,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1187095293577964,1.2596983121821352,1.1180349257834166,1.135421714903039,1.059003865281542,1.0963377556952167,0.7789571123537552,0.943257644346396,0.8112302518397729,0.9382535548095178,0.8927122114482761,0.8671653766972058,1.018810943857681,1.0673314879028295,1.1909259419312492,0.8870060275893901,0.9400534446832952,1.3166078039507945,0.8801285540438104,0.8887521408140593
LIB_PEAKS,427,48,9452,73,0.10105263157894737,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0964357613211004,1.2306579516780904,1.09939110915422,1.1161060625110095,1.0433681428597648,1.0722732628154978,0.7892065139776975,0.9412619901274573,0.8187805751144618,0.9343633197938495,0.8913949979322856,0.8711363715498286,1.0051098530061788,1.0470267365498656,1.1658907234839004,0.8882183849392867,0.9410870362801107,1.2758423556060443,0.8802597001188142,0.8921891511805353
TMM_PEAKS,422,52,9448,78,0.10970464135021098,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0845630133060802,1.2140688054140951,1.0925717467291367,1.104408141891006,1.0323168985079876,1.0661118835815417,0.7853963847884872,0.930606037426071,0.8096544165121632,0.928391586495702,0.9000773000279011,0.8849871247546298,1.0134542447373713,1.054184427471724,1.1720545836536576,0.8977849623160101,0.9468482696425108,1.2863550813705302,0.8901598995201079,0.9006571910113312
RLE_PEAKS,422,53,9447,78,0.11157894736842106,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1175066185828648,1.2534999553206956,1.1184142410750226,1.137520604066491,1.0624581499667198,1.093153315900221,0.8026024350333906,0.9567024817249011,0.8335351372162829,0.9526174459738194,0.9286747648944904,0.9047695258092228,1.0394641399917322,1.0840593387829107,1.2107083024490655,0.9251300155756579,0.974158987093144,1.3244241887172066,0.9128531055251173,0.9246184888520026
LIB_BINS,441,20,9480,59,0.04338394793926247,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.012503276104093,1.0287236151295454,1.010731886682288,1.014725753727131,1.0067134933107142,1.0094019711416373,0.9733586700098993,0.9917751944361342,0.9777928336722136,0.9915713316083478,0.987703627988208,0.9849551097094479,0.9998041327547279,1.0064095630698662,1.0213498240505847,0.9854203250748776,0.9923275273141117,1.03552525605853,0.9832765279079921,0.9859300802496506
TMM_BINS,419,35,9465,81,0.07709251101321586,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.011197454616854,1.0236499954885183,1.0075089153902945,1.0137974201440672,1.0066270009528047,1.006299925013744,0.9737911307137332,0.9912732840519333,0.9762913331725681,0.9915160495058861,0.9899405375261853,0.9866235891146026,1.0011136752238508,1.007316078434053,1.0229475543040567,0.9867119760620281,0.9942779475567229,1.0373592802850573,0.9855883783729071,0.9859730797495928
RLE_BINS,399,30,9470,101,0.06993006993006994,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.011154236968036,1.0265014089507314,1.0103437715186985,1.0166169116714467,1.0080973463812406,1.0103456886301752,0.9753380751377736,0.9920318873735791,0.978492893742994,0.9925316731931964,0.9925262609800045,0.9890791447300303,1.003491509132314,1.0098634963609863,1.0262643500801825,0.9891273885523331,0.9968325783796511,1.037915848551183,0.9880655145446712,0.9913272415806424
DBA_NORM_OFFSETS_ADJUST,416,46,9454,84,0.09956709956709957,500,10000,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,407,11,9114,93,0.02631578947368421,488,9613,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,914,82,8916,86,0.0823293172690763,1000,9998,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1037877285344515,0.605454016935666,0.9962237855178157,1.1963624422213277,1.1431636587028942,1.006137765910521,1.2062169496312345,1.1726510639537893,0.7529208581977604,1.3399998048909982,1.0012420404344016,0.8797803050871643,1.0929148153511237,1.1403480014203042,1.1949428889048703,0.9284891259997448,0.8566218358159533,1.0063976087039248,0.8147712370482513,0.8940133732698109
