technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,180,17,9428,320,0.08629441624365482,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.337261769249129,1.161324019727802,0.7657172437960073,0.8409336576497826
LIB_PEAKS,165,15,9430,335,0.08333333333333333,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.277529937533709,1.1234789473522266,0.768946811564198,0.8300443035498665
TMM_PEAKS,168,15,9430,332,0.08196721311475409,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.2677723054030265,1.1098343267705995,0.7786752770887017,0.8361376876561147
RLE_PEAKS,91,28,9417,409,0.23529411764705882,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3077924887225412,1.150435363083377,0.8043260154526494,0.8673809101169855
LIB_BINS,66,171,9274,434,0.7215189873417721,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0354895868460392,1.0142874581879837,0.9696184792506001,0.9806044757153771
TMM_BINS,65,174,9271,435,0.7280334728033473,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0325056590852808,1.0122571110613101,0.9720370090489495,0.982959147830825
RLE_BINS,66,170,9275,434,0.7203389830508474,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0352264146528172,1.0151838550673997,0.972752370388141,0.9843129422062752
DBA_NORM_OFFSETS_ADJUST,167,16,9429,333,0.08743169398907104,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,118,30,9415,382,0.20270270270270271,9945,500,1,0.9935,0.001005530417295123,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,316,33,8934,684,0.09455587392550144,9966,1000,0.999,0.996,6.020469596628537e-4,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9010722244386538,0.9077261433439502,0.9604122781122792,1.2729983771354638
