technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,228,34,9346,272,0.1297709923664122,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8341273184557654,0.8436299234612706,1.1596237588409892,1.240115256157713,0.9942615210528764,0.9938844415209692
LIB_PEAKS,230,34,9346,270,0.12878787878787878,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.844746362001308,0.8466300822977981,1.1331105570089384,1.2051432717462394,0.9881628787878788,0.9822068481578373
TMM_PEAKS,229,29,9351,271,0.1124031007751938,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8363729978873177,0.8423681638139425,1.12246452761965,1.2161251502673762,0.997591722827362,0.9879996813990104
RLE_PEAKS,236,27,9353,264,0.10266159695817491,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8589181124287117,0.8619918820348514,1.1496250655790545,1.2403381722560425,1.0212170561824654,1.015063611533273
LIB_BINS,266,45,9335,234,0.14469453376205788,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.981377790544064,0.9796462938983767,1.016246611499734,1.026089309187604,0.9993990176211828,0.9972409772490383
TMM_BINS,261,42,9338,239,0.13861386138613863,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9812086040430243,0.9788914723945461,1.0126269863802306,1.0271298323756337,1.0007876538189682,0.9993466474284748
RLE_BINS,261,42,9338,239,0.13861386138613863,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.983590089021788,0.981445364627286,1.0143560589364902,1.0277213121571513,1.0021587973666843,1.0026263801659663
DBA_NORM_OFFSETS_ADJUST,213,33,9347,287,0.13414634146341464,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,109,5,9375,391,0.043859649122807015,9879,500,0.998,0.9879,0,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,456,59,8659,544,0.1145631067961165,9718,1000,1,0.9718,0,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9431032963724691,0.9733057034880394,1.0414729269800298,0.7731194931824499,1.197229919806352,1.1301063068710262
LIB_PEAKS,458,61,8657,542,0.11753371868978806,9718,1000,1,0.9718,0,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9366346412337067,0.9714162857159435,1.026219036941959,0.7887101484499051,1.1667129760057453,1.1103069116527406
TMM_PEAKS,429,39,8679,571,0.08333333333333333,9718,1000,1,0.9718,0,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9211556488218826,0.9558642331369709,1.0059722703068967,0.8029110132589058,1.1890908152281399,1.128086710921003
RLE_PEAKS,438,37,8681,562,0.07789473684210527,9718,1000,1,0.9718,0,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9382669278558581,0.9755720923614267,1.0325522578482986,0.8216836545230157,1.218710603962538,1.1536751657994373
LIB_BINS,417,42,8676,583,0.0915032679738562,9718,1000,1,0.9718,0,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9932709665857403,0.9949395098693643,1.0040797267147519,0.9726178010833472,1.0211696429109793,1.0139223528358168
