technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,251,63,9442,249,0.20063694267515925,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3595125377068416,0.8093835883964524,1.0959748467276058,0.8754681902229621,0.7142947166231812,0.9762019226368488,1.1558672538307022,1.175158305693272
LIB_PEAKS,250,64,9441,250,0.20382165605095542,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3055875831794037,0.8154677927818791,1.0649764427906778,0.8662969263296126,0.7251609450891316,0.9629045537137063,1.1264447498178232,1.1331610062977657
TMM_PEAKS,255,49,9456,245,0.1611842105263158,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.2939720002789288,0.8047592516017565,1.053576556538452,0.8626844268324471,0.7303291183935665,0.9730912023365038,1.134564234972553,1.14717215534132
RLE_PEAKS,255,45,9460,245,0.15,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3287001677586212,0.8314109000813255,1.0872906586809148,0.8895504094229126,0.7573181476748353,1.0049413860337073,1.1718313135767775,1.1851888958041155
LIB_BINS,122,16,9489,378,0.11594202898550725,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0375193077185416,0.9775446977743064,1.0066737944594104,0.9822592347915002,0.9673410518945426,0.996932805695622,1.0145299130161327,1.0171991946499441
TMM_BINS,242,14,9491,258,0.0546875,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0335178185618845,0.9783193286925511,1.0049936093805132,0.9816998058363982,0.968397623339499,0.9982289304954726,1.0152949948739372,1.0194063763464418
RLE_BINS,242,14,9491,258,0.0546875,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.035599191284414,0.979612563747227,1.0068115163291942,0.9826374600817737,0.9705232430978495,1.0011428409342271,1.0159729762411878,1.020728638395277
DBA_NORM_OFFSETS_ADJUST,233,59,9446,267,0.20205479452054795,500,10005,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,160,8,9323,340,0.047619047619047616,491,9822,500,1,0.05,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,526,90,8918,474,0.1461038961038961,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3812439079766574,0.8726283220754882,0.7574373531054794,1.0910950308399374,0.945518710275464,0.9434323082913714,0.9460745582524944,1.1895557153119312
LIB_PEAKS,540,89,8919,460,0.14149443561208266,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.3372192226649517,0.8697179193638668,0.7668527527378055,1.0691295345927108,0.9294121653659853,0.9360836697465614,0.9348366922262129,1.1567480433019057
TMM_PEAKS,555,77,8931,445,0.12183544303797468,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.30975550135469,0.8546742025141951,0.7533736875520093,1.0454600945187897,0.9496463117926731,0.9521167064862713,0.9555174916101279,1.1776640950886925
RLE_PEAKS,549,74,8934,451,0.1187800963081862,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.353157613664552,0.8820385007004747,0.7736006430619191,1.0778964477115376,0.9795621175370116,0.9777334227309391,0.9819981823784181,1.2140184393242621
LIB_BINS,538,21,8987,462,0.03756708407871199,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0447850770363736,0.983560314870289,0.970662333701812,1.008334651071318,0.9894527202564781,0.9912416395411086,0.9904171556285849,1.0215461078940358
TMM_BINS,497,24,8984,503,0.046065259117082535,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0395420639438941,0.9848139787104613,0.9692139783006314,1.0038371009049105,0.9914334484451026,0.993741133557,0.9936340232255613,1.0235500134104383
RLE_BINS,528,24,8984,472,0.043478260869565216,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0412501747744831,0.9860957098337233,0.969168410358766,1.0068500889260588,0.9926215378777226,0.9976234654578474,0.9950609067400654,1.0245066804254523
DBA_NORM_OFFSETS_ADJUST,501,81,8927,499,0.13917525773195877,1000,10008,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,368,19,8829,632,0.04909560723514212,989,9837,1000,1,0.1,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,920,83,8425,580,0.08275174476570289,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7148786507236837,1.0652738592904367,1.1878896482675478,0.768246161164388,1.026875510893657,0.9922888449140852,1.1555146782988974,1.2220768954416517
LIB_PEAKS,946,87,8421,554,0.08422071636011616,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7228496788029655,1.0404263496397432,1.1505333959185737,0.7755645374478428,1.0112557182339055,0.9833224659748715,1.1277967779345393,1.1882510760475584
