"technique","true_positives","false_positives","true_negatives","false_negatives","FDR","n_true_do_called","n_consensus_peaks","n_true_do","it","prop.do","symmetry","constant.background","equal.DNA.bind","equal.lib.size","prop.consensus","more.background.cond","FDR.threshold","condA_rep1","condA_rep2","condA_rep3","condA_rep4","condA_rep5","condA_rep6","condA_rep7","condA_rep8","condA_rep9","condA_rep10","condB_rep1","condB_rep2","condB_rep3","condB_rep4","condB_rep5","condB_rep6","condB_rep7","condB_rep8","condB_rep9","condB_rep10"
"Oracle",464,42,9458,36,0.08300395256917,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.997537993571747,0.818465297980143,1.20483293710231,1.29581104425203,1.02523054625939,1.14001032272007,0.899093647045434,0.983792401674072,0.630495202119368,0.724192174091781,1.36067758927288,1.05375916641811,0.971069482001606,0.781481441067779,0.751120935586599,1.19178040233527,1.20344910783812,1.14379019108929,1.07788607752069,1.15002904670341
"LIB_PEAKS",475,56,9444,25,0.105461393596987,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.997141621816895,0.82941584480292,1.18297686220631,1.26056536751553,1.02450737916946,1.1300966062966,0.901590715746825,0.98681436597587,0.656255671642747,0.740218043683133,1.27910217754748,1.0142700910456,0.940436007779439,0.777279552708193,0.75472187777851,1.13733208693442,1.14855036920502,1.10092284385878,1.0433140923529,1.09448842193337
"TMM_PEAKS",463,44,9456,37,0.0867850098619329,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.976194286308856,0.815528994595174,1.15822755579681,1.24028737772371,0.996511150527857,1.10113050619337,0.884170463612065,0.963136592051007,0.643692352584168,0.723394925034853,1.3094252378616,1.03585471050817,0.955593103713528,0.794636997645448,0.772178810681892,1.16108824989885,1.17487470684106,1.12824475845473,1.06356004102214,1.11969558285412
"RLE_PEAKS",464,43,9457,36,0.0848126232741617,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.00713020248016,0.844384386033517,1.19804826154365,1.27779482848606,1.0352404568368,1.1441667710478,0.913296245427046,0.99974714810785,0.667655765769264,0.755022121781519,1.3508254847764,1.06418104636763,0.993518900660525,0.820377193186717,0.798222688288394,1.20384198577597,1.20612002439546,1.16825101894311,1.10362878702109,1.1534789847268
"LIB_BINS",418,35,9465,82,0.0772626931567329,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.919967021430939,0.89936432704577,0.939950427011332,0.951946267190822,0.922861116438375,0.933910020829167,0.908034190286819,0.917843796964797,0.879632597555224,0.888055105325994,1.1124486429105,1.08299263897844,1.07242980428908,1.05414242191502,1.05400398206302,1.09645514947552,1.09862986132485,1.08989968943567,1.08633607842097,1.09109686110769
"TMM_BINS",415,33,9467,85,0.0736607142857143,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.916632247058051,0.89898885671799,0.937560024976549,0.947135711529374,0.920743424688406,0.930675679643095,0.905771361601974,0.917114771328576,0.879403198307185,0.888023810134708,1.11508201158673,1.08579160971833,1.07497111450307,1.05546781698269,1.05551708828705,1.09983823168627,1.10048035983941,1.09229631733469,1.0885530417137,1.09329389408914
"RLE_BINS",422,31,9469,78,0.0684326710816777,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.924331453562269,0.90378593331249,0.942044496984555,0.954176765810596,0.926782247144726,0.936352955944087,0.910879940478755,0.921846897908792,0.882795811399108,0.892310383183369,1.12033336953255,1.09193051783121,1.0816168421699,1.06215576057013,1.06334323145191,1.1041292755954,1.10660680636534,1.09773381352109,1.09380276848478,1.09903774871342
"DBA_NORM_OFFSETS_ADJUST",464,48,9452,36,0.09375,500,10000,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAnorm2",465,22,9090,35,0.0451745379876797,488,9600,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oracle",959,74,8923,41,0.0716360116166505,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.785819742752061,0.810265543263101,1.21239926048008,1.08498898256028,0.896453684667821,1.14802892744345,0.863129092816494,1.0313780067324,1.08807181874374,0.945994994877098,0.992388465416207,1.29504857442504,0.988617877902143,1.10126260176477,0.794272582421965,0.775205161986631,1.10589843087187,1.44724721432985,1.14449177758586,0.802257908505012
