technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,266,25,9251,234,0.0859106529209622,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.907809225510286,1.1042764555865383,0.7614670689847992,1.3100156056562988
LIB_PEAKS,269,27,9249,231,0.09121621621621621,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9180274939989584,1.0969919473707752,0.7603249019705627,1.2246556566597038
TMM_PEAKS,269,28,9248,231,0.09427609427609428,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8990019180704958,1.0696556017321874,0.7785766681774902,1.2524672020328187
RLE_PEAKS,269,28,9248,231,0.09427609427609428,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9240504270832368,1.0996705920002077,0.8016289594625241,1.285301067472112
LIB_BINS,241,17,9259,259,0.06589147286821706,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9094724775625804,0.9300968452220206,1.0560810871263724,1.1043495900890266
TMM_BINS,242,18,9258,258,0.06923076923076923,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.90781619558534965,0.9262991443035001,1.0601795834849301,1.1066058098386138
RLE_BINS,242,19,9257,258,0.07279693486590039,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9124437015347584,0.9319196100667031,1.0634677092289804,1.1116091225823683
DBA_NORM_OFFSETS_ADJUST,265,25,9251,235,0.08620689655172414,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
MAnorm2,223,36,9240,277,0.138996138996139,9774,500,0.996,0.9766,8.184980560671168e-4,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
Oracle,536,52,8878,464,0.08843537414965986,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0885299321421371,0.7794432754793411,1.147239501522994,1.0273561323726712
LIB_PEAKS,612,56,8874,388,0.08383233532934131,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.1225028964462616,0.8302759618098505,1.0747556208150573,0.9724655209288305
TMM_PEAKS,547,54,8876,453,0.08985024958402663,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0774645213645382,0.8042187146481882,1.113167022067559,1.0098488760130044
RLE_PEAKS,545,54,8876,455,0.09015025041736227,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0961728308459746,0.8183268347498163,1.1295585465414728,1.0271125642857608
LIB_BINS,552,168,8762,448,0.23333333333333334,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.095700018324311,1.0573322718218765,0.9312811590735182,0.9156865507802943
TMM_BINS,569,153,8777,431,0.21191135734072022,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0944737142530712,1.0571391135315553,0.9307267549756614,0.9174261884937248
RLE_BINS,550,160,8770,450,0.22535211267605634,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0961652104859863,1.0615967354067917,0.935259997721974,0.9201995575606621
DBA_NORM_OFFSETS_ADJUST,532,62,8868,468,0.10437710437710437,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA
MAnorm2,255,7,8923,745,0.026717557251908396,9929,1000,0.999,0.9925,4.0286030818813577e-4,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA
Oracle,836,48,8130,664,0.05429864253393665,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.12035060163851,0.8572643409521232,1.3284444343942403,0.7837686634853654
LIB_PEAKS,879,77,8101,621,0.08054393305439331,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.1510579204551725,0.9007518766260175,1.2009486847779216,0.7472415181408885
TMM_PEAKS,833,57,8121,667,0.06404494382022471,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.0864537073851899,0.8558498674872022,1.2648867416856813,0.791092639520323
RLE_PEAKS,827,55,8123,673,0.06235827664399093,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.1195297179653874,0.8831763023475389,1.292457354864223,0.8127133499079044
LIB_BINS,697,27,8151,803,0.03729281767955801,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9355468654221384,0.9086317289884361,1.1026355369305545,1.0531858686588709
TMM_BINS,662,30,8148,838,0.04335260115606936,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9295060747850105,0.907781121588196,1.1066261915562672,1.0571975073612807
RLE_BINS,674,30,8148,826,0.04261363636363636,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9338909419848129,0.9100251088775779,1.110489141643826,1.0621238416511898
DBA_NORM_OFFSETS_ADJUST,827,70,8108,673,0.07803790412486064,9673,1500,0.9966666666666667,0.9662,0.0011371859815982632,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
MAnorm2,707,61,8117,793,0.07942708333333333,9673,1500,0.9966666666666667,0.9663,0.001033805437816603,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA
Oracle,1065,57,7658,935,0.05080213903743316,9713,2000,0.999,0.9707,6.177288170493154e-4,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0120134610364833,0.8251738135860791,1.255589784312654,0.9537191429080956
LIB_PEAKS,1169,103,7612,831,0.0809748427672956,9713,2000,0.999,0.9707,6.177288170493154e-4,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0928335755922318,0.9121116937778968,1.1216763527378684,0.8733783778920031
TMM_PEAKS,1035,61,7654,965,0.055656934306569344,9713,2000,0.999,0.9707,6.177288170493154e-4,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0171969809142478,0.8549170833843269,1.2003937737262733,0.9354471608566434
