technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,304,74,9087,196,0.19576719576719576,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.3105337970881796,1.2341755794240707,0.7768227667179395,1.1146963560029124,0.6510524239782949,1.0966810497549644
LIB_PEAKS,309,84,9077,191,0.21374045801526717,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.264314569674467,1.1950816274114409,0.7910099794207791,1.0565422769031991,0.656761392110395,1.0362901544797196
TMM_PEAKS,304,69,9092,196,0.18498659517426275,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.2400209511758158,1.1733265462207554,0.7740069346333818,1.0726958279597858,0.6709068435547181,1.0604225560917615
RLE_PEAKS,302,68,9093,198,0.1837837837837838,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,1.2844358931515012,1.215209725591606,0.8047527337879147,1.114534554344397,0.6987099978540406,1.0988319817698489
LIB_BINS,244,113,9048,256,0.3165266106442577,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9514676046951478,0.9424473852896615,0.8931621159214125,1.0860388236644554,1.0412868742793637,1.0855971961499595
TMM_BINS,244,114,9047,256,0.31843575418994413,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9477273315082593,0.940223531307435,0.8927751978392988,1.087748407766842,1.0444157951100965,1.0879460151356133
RLE_BINS,244,114,9047,256,0.31843575418994413,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9527585759545663,0.9432745993743271,0.8957354158712424,1.092664852738801,1.0506479972239113,1.092614268593151
DBA_NORM_OFFSETS_ADJUST,296,81,9080,204,0.21485411140583555,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,267,21,9140,233,0.07291666666666667,9661,500,1,0.9661,0,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
Oracle,678,128,8690,322,0.1588089330024814,9814,1000,0.996,0.9814,0,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9302061441677626,1.032355057333982,1.0742648532844183,0.9680553247150776,1.147817263228681,0.8723834320462396
