technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,342,88,9422,158,0.20465116279069767,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9065778888519024,0.9748691049634032,1.2108085072252317,1.0720919060781826,0.8697751027976679,1.165082553233613,0.942799924074634,0.9123424442630832
LIB_PEAKS,349,97,9413,151,0.21748878923766815,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9173404144529239,0.9812282045358994,1.2070108912499287,1.074188470523597,0.8656085844289368,1.1258791578256242,0.9286409487511684,0.9001033282319215
TMM_PEAKS,337,74,9436,163,0.18004866180048662,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.8982062987347544,0.960458782939228,1.1817866376243047,1.0489478348043253,0.8835329907147071,1.144946880443469,0.9541130055072594,0.9210644897465569
RLE_PEAKS,339,75,9435,161,0.18115942028985507,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9174734610161497,0.984962462198348,1.2122275196749417,1.076632840254627,0.9034357264635587,1.16931536968065,0.9705889710069382,0.9405337273638685
LIB_BINS,276,215,9295,224,0.4378818737270876,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9105311368008268,0.9178797815663916,0.945224857437804,0.9287906580684288,1.0628876243103274,1.097086705581178,1.0703084752592986,1.067290760975745
TMM_BINS,276,228,9282,224,0.4523809523809524,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9085280991590211,0.9152318174394909,0.9420339045633639,0.9271290273915004,1.0676086492747339,1.0978130499755914,1.0738157379054571,1.0693187252352643
RLE_BINS,276,228,9282,224,0.4523809523809524,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,0.9130032303246417,0.9189249365844241,0.9463896879723713,0.929642406564177,1.0708658864928482,1.102243202122064,1.0776867944788842,1.074058335230531
DBA_NORM_OFFSETS_ADJUST,342,96,9414,158,0.2191780821917808,500,10010,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,327,21,9328,173,0.0603448275862069,493,9842,500,1,0.05,TRUE,FALSE,FALSE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,742,111,8893,258,0.13012895662368112,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.9699675171255776,1.1279408402927755,0.8477634204422838,0.784407778291406,1.046306166103333,1.2229444327373091,1.0812667541492742,0.9934398194642028
