technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condA_rep5,condA_rep6,condA_rep7,condA_rep8,condA_rep9,condA_rep10,condB_rep1,condB_rep2,condB_rep3,condB_rep4,condB_rep5,condB_rep6,condB_rep7,condB_rep8,condB_rep9,condB_rep10
Oracle,465,41,9459,35,0.08102766798418973,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.815213237720871,1.0346136709177025,1.2742917430335252,1.0205681834626985,1.1535279408731782,0.7132324047525488,0.8771440293886695,1.179416333917762,0.9538940732386711,1.0693949372509854,1.090887521731181,1.045667726588276,0.9721700719844836,1.204285197967052,0.8981937072101016,0.9111118946945655,1.0431125988040493,1.1756317247299966,0.7080208459739138,1.1065438535225005
LIB_PEAKS,482,56,9444,18,0.10408921933085502,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8332996416766252,1.0407907408909907,1.2719549274391728,1.0278531447150625,1.1576728278851403,0.7375291593266986,0.9002300658843785,1.1865623921351296,0.9728280226572954,1.0691064010022235,1.0486237072832194,1.0035841505279046,0.9397469412788803,1.1500617221983096,0.8773289071205826,0.8896485937285846,1.0031440962362064,1.1276519573935768,0.706453992094608,1.0559286085254103
TMM_PEAKS,468,43,9457,32,0.08414872798434442,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.815423884912407,1.0202030241859141,1.2449601846483707,1.0038264572412186,1.1318825832734187,0.7232976752279939,0.8812358268929061,1.1601892121297321,0.9555234087324135,1.0454315622864168,1.0723678542796906,1.024703090441319,0.9577130161254714,1.1725284962927385,0.8988561082053077,0.9103083775511153,1.023752678266237,1.155191570053584,0.7212273430281214,1.0762564593697903
RLE_PEAKS,470,42,9458,30,0.08203125,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8442188582578547,1.0481601933071922,1.27920106371141,1.039837613083972,1.1707035403325299,0.746526272069658,0.9110707810253815,1.2011297720675118,0.9872222454335234,1.0762347003064918,1.1045436002729148,1.053261830836933,0.9868259947627266,1.2066805771527875,0.924911865043548,0.9370376032436958,1.0503319662891075,1.1846989164234065,0.7437958566106831,1.1108718995476778
LIB_BINS,468,13,9487,32,0.02702702702702703,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9803663597880886,1.004544799627606,1.034245656091801,1.0025573061283701,1.0180416711466052,0.9663228140365095,0.9879487254711774,1.0225408257461965,0.9968649052081886,1.0079563311331983,1.004157843507759,1.0025707311366099,0.9925685077183334,1.0191097490080203,0.9841145036326295,0.9876677874311046,0.9999866144770788,1.0158999874792056,0.9644166602930783,1.0081182209384405
TMM_BINS,468,13,9487,32,0.02702702702702703,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9804005843895299,1.003286332599522,1.0309571503946893,0.9995457070474025,1.0154374656970628,0.9678345112627166,0.9872827932508562,1.0192383244216254,0.9952819087951189,1.00517609052347,1.0057508841065026,1.0039348585545498,0.9932979991763802,1.0213731870784268,0.9864606369409552,0.9885602127903831,1.0013982868118285,1.0178234566758266,0.9651455407309739,1.0115823097482468
RLE_BINS,469,13,9487,31,0.026970954356846474,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9817046609975733,1.0060003392766441,1.0326144481853223,1.0042038391867294,1.017702439181923,0.9699851962870315,0.9889916051970048,1.0229710470049815,0.9983647107626192,1.0082668362558262,1.00729364262339,1.005534281815229,0.9949935987104596,1.0214203449766877,0.9888196130625312,0.9926338545935263,1.0042018586158277,1.018106285823229,0.9690809014106881,1.0120398957201129
DBA_NORM_OFFSETS_ADJUST,473,50,9450,27,0.09560229445506692,500,10000,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,462,22,9078,38,0.045454545454545456,482,9582,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,939,80,8920,61,0.07850834151128558,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1097570690471084,0.9210280014364832,0.7370263584485847,1.0590877777484204,1.1216293659627932,0.8997041943985055,0.7795786142903487,0.8079756547028907,1.1112301490126726,0.8502681196639913,1.0414030947510269,1.2349442911881217,1.2432192653789864,1.2017091729075728,0.7747546968064138,1.0461467229081995,1.0488648052237932,1.291821466885705,0.7875729244342454,1.255839408654246
LIB_PEAKS,970,176,8824,30,0.15357766143106458,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1306401496398666,0.9539204373614223,0.7777690021247783,1.0855841277974803,1.1436479148085292,0.9316099449124436,0.8185501037346397,0.8441466501513158,1.1443590637619683,0.8818552030097494,0.9824932143868483,1.1532604654477927,1.1566556799771919,1.1257680569227382,0.7549801295671655,0.9938089908491343,0.9867199755480343,1.2081874916122952,0.7594717656207158,1.166571632765891
TMM_PEAKS,946,74,8926,54,0.07254901960784314,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0869893470463488,0.9216329821570244,0.7463974926016064,1.0448740729676442,1.0976966003496211,0.9008821900611068,0.7933009894673441,0.8121285494558357,1.0976289115973263,0.8518673149579687,1.0169326843893882,1.2026576067149555,1.2038944723531881,1.167070417475979,0.785619928091149,1.0257195256578129,1.0242152756523615,1.2528466593376533,0.7891315044693901,1.2121106208903425
RLE_PEAKS,946,74,8926,54,0.07254901960784314,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1235092602901495,0.9513915197022593,0.7740104844033827,1.0776333486307117,1.131178885410718,0.9266847586869125,0.8158410298540526,0.8379835393885724,1.1302118648551898,0.8779125921789486,1.0482825753257539,1.238829225190689,1.2356890794654423,1.2015088874008453,0.8094758923916262,1.0608986741752182,1.0577022469316022,1.2903562081749702,0.8103709426204652,1.2492610417432777
LIB_BINS,976,263,8737,24,0.2122679580306699,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0175966309001214,0.9931642597959157,0.9720377096489088,1.0137720252650273,1.0196135446197958,0.9896994846108095,0.9727138958882606,0.9791388296619419,1.0198792446662002,0.9833809084890126,0.9971198716628018,1.0218047451485797,1.0213478730454124,1.0184321595339936,0.9662895443644985,0.9982597229210434,0.9972697039753102,1.027983775373105,0.9677626366597571,1.0227334337695035
TMM_BINS,975,240,8760,25,0.19753086419753085,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0131302916030254,0.9898434422195558,0.9713151437707286,1.0091639318892667,1.014596085233124,0.9855005606119865,0.9712607737577096,0.9799036072261692,1.0118642119957089,0.9835161742883026,1.000011695266502,1.026348751286779,1.0224313183337523,1.0208559561101433,0.970704621958524,1.002097310591422,0.9999749266349943,1.0310885749088385,0.9715931408792164,1.0246351604693673
RLE_BINS,975,248,8752,25,0.2027800490596893,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0159931419433432,0.9920259154178982,0.9739842199524767,1.0117904041035903,1.0176749587002398,0.9889860935811249,0.9730503434904517,0.9805540903946585,1.0172820612594209,0.98495659207219,1.0027780872530678,1.0267375222483266,1.0260118147379271,1.0203715322462918,0.971962210084873,1.0024006612811192,1.0032061729804758,1.0312804303840792,0.9730292464881795,1.0275467047208229
DBA_NORM_OFFSETS_ADJUST,962,143,8857,38,0.12941176470588237,1000,10000,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,941,43,8618,59,0.04369918699186992,971,9632,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1432,114,8385,68,0.07373868046571798,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9822140441457612,1.0086575856777005,1.2227416371861213,1.1350765594225447,0.7309106649864016,1.0629080278446017,0.9339232600841074,0.7256041561605324,0.8975552045311462,0.8279463983912484,0.9700272947491764,1.5052154320964333,1.0166302277238124,0.7758813825595293,1.3345051721352297,0.8624855603556758,0.996654060764589,1.5278785308554488,1.1870319925027375,0.7757953298045338
LIB_PEAKS,1478,361,8138,22,0.19630233822729745,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0300290675419603,1.0439902167278128,1.2546831015183482,1.1754794387969316,0.7778608002990585,1.0995349743287128,0.9746404391986985,0.7748304733439897,0.9446068474566588,0.8735502932701813,0.8947750013284292,1.3527801786100964,0.9405084544436559,0.7342457373386047,1.2099094884983743,0.8087637481347654,0.9154266440433007,1.369482460785165,1.0883965711531147,0.7365060631821395
TMM_PEAKS,1440,119,8380,60,0.07633098139833226,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9754445759726426,0.9894684487369203,1.1861411444839776,1.1146349275757723,0.7391323423024674,1.0364830839455235,0.923420963828615,0.7337855933086804,0.8868905706245959,0.8268162590040062,0.9471480285818923,1.4287181828905242,0.9916192027039948,0.7821351276084912,1.2783744970309616,0.8542075999106974,0.965075097623108,1.4450848843289976,1.1538233738095391,0.7756162653940838
RLE_PEAKS,1445,120,8379,55,0.07667731629392971,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0182581537034774,1.031524957313035,1.2342058301898318,1.1541073607117653,0.7767198033065673,1.0769014684439173,0.9653565631992612,0.7675140296073497,0.9277149605165373,0.8619078450020342,0.9771171650324213,1.4822178055516988,1.0202703376819908,0.8057453114347057,1.3167324798644104,0.881695504392259,1.0031134295320332,1.491201940373747,1.1917957803711818,0.8006474007045118
LIB_BINS,1465,189,8310,35,0.11426844014510278,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.00233628725332,1.0058268256140863,1.0317960779432214,1.0205496594596841,0.9729651576108511,1.0123116358533075,0.998234144587475,0.9695111036634088,0.9923395580025133,0.9817339705852656,0.9865581515599602,1.044599753186867,0.9927142097737447,0.9679244239893295,1.0269709162047278,0.9771145730918095,0.9888235197829719,1.0473080343415229,1.0130746700889568,0.9673073274069766
TMM_BINS,1462,170,8329,38,0.10416666666666667,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9990247815457349,1.0051572677313552,1.0253436111842071,1.017437965004907,0.9726749859948003,1.0096730977492254,0.9972664753759366,0.9687537713074057,0.9897089861737284,0.9784820207180184,0.9908172134821135,1.0459341813342595,0.9946622489501212,0.9708940466132446,1.0298654980724384,0.980095254349241,0.9907697070264784,1.0462799342561324,1.0159168541824117,0.9708731725507336
RLE_BINS,1462,167,8332,38,0.10251688152240639,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0005018088858675,1.003964397463532,1.0280069186633067,1.0163217946391003,0.9754315900927587,1.0107919439138784,0.9981273636416406,0.9705798901332001,0.9920802564748421,0.9807807686898546,0.9926830762440997,1.048038545062446,0.9984438983055876,0.9728788791274202,1.0314922479247421,0.983031010866186,0.9945554734189422,1.050456590502608,1.0173397469847378,0.9735470488792684
DBA_NORM_OFFSETS_ADJUST,1469,310,8189,31,0.17425519955030916,1500,9999,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,1413,92,8036,87,0.061129568106312294,1449,9577,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1916,118,7878,84,0.05801376597836775,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7095181931784115,1.0679052719273812,0.9542984702807183,0.7703474054884435,0.949608808320022,0.9457349808797488,0.7766391686186594,0.8754550311006843,1.2267146230218988,1.045932332981635,1.1161127837357747,0.9394630582558848,0.9397059674336568,1.3636036986784172,1.2156694239866694,1.0397352248327751,1.300326106700062,0.7545457320055523,0.9236607226505076,1.4888875872871996
