technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,273,28,9388,227,0.09302325581395349,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8194339905829936,1.0429996628063547,1.0348457368481452,1.130644937014607
LIB_PEAKS,274,30,9386,226,0.09868421052631579,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8527156108523144,1.0550808283126996,1.0023882559376214,1.0898153048973647
TMM_PEAKS,271,28,9388,229,0.09364548494983277,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8372762177879799,1.0337725758075955,1.0224463391676104,1.1105664031857507
RLE_PEAKS,272,27,9389,228,0.0903010033444816,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8511545906401619,1.0483155590961406,1.035323999374013,1.124685040304593
LIB_BINS,247,39,9377,253,0.13636363636363635,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9830289276529817,1.0041856566681824,1.0012376952431497,1.0115477204356862
TMM_BINS,246,39,9377,254,0.1368421052631579,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9817727556387197,1.002888565720015,1.0025273199819222,1.0128473752257383
RLE_BINS,247,40,9376,253,0.13937282229965156,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9838977020917489,1.0055520370046767,1.0032734107196473,1.0140187476767863
DBA_NORM_OFFSETS_ADJUST,271,28,9388,229,0.09364548494983277,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,255,39,9377,245,0.1326530612244898,9915,500,0.998,0.9906,9.07715582450832e-4,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,570,47,8901,430,0.07617504051863858,9946,1000,0.998,0.9937,9.048863864870299e-4,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9540228427331596,0.7728426032654093,1.2248667845430017,1.1072898375979423
