technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,312,103,9315,188,0.24819277108433735,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0123060152093215,0.6733062708504985,1.0636315848182776,1.2510194337315297,0.9532491857406596,1.15668152446783
LIB_PEAKS,327,123,9295,173,0.2733333333333333,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0118197342630315,0.6987801655630445,1.074069545943942,1.187933380396673,0.926577246321369,1.1008199275119401
TMM_PEAKS,312,103,9315,188,0.24819277108433735,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9939343376462058,0.6857098218836041,1.0465608113088367,1.2112464939242276,0.9459129955275504,1.12595195492969
RLE_PEAKS,312,101,9317,188,0.24455205811138014,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0159158951240903,0.708473208266608,1.0812481846267332,1.2449399636397918,0.9738007567754782,1.158806707959151
LIB_BINS,295,135,9283,205,0.313953488372093,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0020644071221214,0.9558785921825983,1.0107411743652408,1.026795641033729,0.9898297910211662,1.0146903942751442
TMM_BINS,294,130,9288,206,0.30660377358490565,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0001541178998585,0.9553969130442057,1.007603980188677,1.0293213877860883,0.9904322230433599,1.0171851750560654
RLE_BINS,294,130,9288,206,0.30660377358490565,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0021072891937581,0.9573008781503638,1.00983861606998,1.029252849473536,0.9935085655306486,1.0191476671821205
DBA_NORM_OFFSETS_ADJUST,310,109,9309,190,0.26014319809069214,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,263,8,9410,237,0.02952029520295203,9918,500,1,0.9918,0,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,663,120,8744,337,0.1532567049808429,9861,1000,0.997,0.9861,0,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.243338358167021,0.7993072015807778,1.054438818626346,0.8894390552790596,1.1091435894202335,0.9673231627120504
LIB_PEAKS,717,153,8711,283,0.17586206896551723,9861,1000,0.997,0.9861,0,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2600206656401596,0.8437563344142235,1.0800301909511743,0.852015998567358,1.043209425553432,0.9209673848736523
TMM_PEAKS,666,118,8746,334,0.15051020408163265,9861,1000,0.997,0.9861,0,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2131937970073055,0.8164181687348022,1.0374444527308178,0.8844989477147843,1.0806937904890217,0.9569438175005103
RLE_PEAKS,664,115,8749,336,0.14762516046213095,9861,1000,0.997,0.9861,0,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2469969013006599,0.8360225931164996,1.0700243889904848,0.9039120705359913,1.1057861537754496,0.9801732171361759
