technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,333,83,9429,167,0.19951923076923078,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0615312294284112,0.9947816870591896,0.8655168445536009,0.8729163136193495,0.99274014675264,1.197345914047406,0.9181325182535088,1.1484992538114986
LIB_PEAKS,352,104,9408,148,0.22807017543859648,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0773385392966799,1.0108128087656025,0.8903254013278641,0.8937666910365982,0.9696547020649279,1.14762785023081,0.8993601076767926,1.111113899600725
TMM_PEAKS,333,83,9429,167,0.19951923076923078,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0545933339981977,0.9932016601531537,0.8707500861273921,0.8786237835080374,0.987078619307088,1.1755688217074607,0.9133624153296491,1.1346041526242716
RLE_PEAKS,334,83,9429,166,0.19904076738609114,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.072417644417115,1.0134487912104617,0.8898391615518222,0.8981585127366001,1.0080258149311714,1.1932657967585434,0.932243548036603,1.1584638676246721
LIB_BINS,359,119,9393,141,0.2489539748953975,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0118334021438449,1.0004053288934531,0.9869246329449661,0.9871338286418165,0.9973073147897689,1.0161693694545222,0.9868485084116876,1.0133776147199407
TMM_BINS,358,118,9394,142,0.24789915966386555,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0083795870143657,0.9979955250062468,0.9859853025702303,0.9873626470426029,0.9989955006767093,1.0173230912523337,0.9890248272509283,1.0149216807843113
RLE_BINS,358,119,9393,142,0.24947589098532494,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0112822680469875,0.9994439582862671,0.9890649939334992,0.9891871288035499,0.9993323104109018,1.0188397064041248,0.9896895600439749,1.0155601002358794
DBA_NORM_OFFSETS_ADJUST,339,94,9418,161,0.21709006928406466,500,10012,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,332,26,9313,168,0.07262569832402235,496,9835,500,1,0.05,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,707,94,8914,293,0.11735330836454431,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7931032646654403,0.989671972145632,0.8907553770781633,0.8723364049764496,1.2554596852261175,0.935806266649577,1.4060809016496705,0.9925159886198958
LIB_PEAKS,798,144,8864,202,0.15286624203821655,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8387499382107647,1.0230951336074725,0.9313671863305735,0.9078554830432933,1.165372129005248,0.8948148794512327,1.298511047683188,0.9402342026682274
TMM_PEAKS,737,108,8900,263,0.12781065088757396,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.805089276385107,0.9850561836907561,0.8952128361975664,0.8776319588804372,1.213274560875827,0.9323255989706866,1.3414655797575359,0.9770475146794089
RLE_PEAKS,739,108,8900,261,0.12750885478158205,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8314726424226015,1.0088374741329786,0.918835216607601,0.9012374742314939,1.236085579407457,0.9550070448231462,1.3781227369122058,1.001239158341809
LIB_BINS,846,355,8653,154,0.29558701082431305,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9790241474699484,1.0029148805927088,0.991160438611482,0.9894619498658693,1.0207212864231805,0.9860030082214986,1.0380465820454723,0.9926677067698403
TMM_BINS,845,344,8664,155,0.28931875525651807,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9780010686737131,1.0000405095915688,0.9892990263134863,0.9886864655528304,1.0218571693346186,0.9888975517248451,1.0390497626936026,0.9942274418982122
RLE_BINS,846,349,8659,154,0.2920502092050209,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.979509820945683,1.003828387769751,0.990999099479224,0.9901077005987104,1.0230596260547797,0.9895051173120638,1.0391363661484203,0.9962699530637033
DBA_NORM_OFFSETS_ADJUST,771,130,8878,229,0.14428412874583796,1000,10008,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,706,27,8820,294,0.036834924965893585,993,9840,1000,1,0.1,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1173,159,8347,327,0.11936936936936937,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8921563791126537,1.1057916637837182,1.195488690286608,0.829289293203146,1.2059253776363352,1.014136286627144,0.8122482238040635,1.0292684146617035
LIB_PEAKS,1281,252,8254,219,0.1643835616438356,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9444617782058792,1.1616412455483642,1.2415050163527745,0.8777941480276777,1.103793146542453,0.9433939807167335,0.7725616852836932,0.9548489993224247
TMM_PEAKS,1188,159,8347,312,0.11804008908685969,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8952461318528633,1.0950973387143932,1.1744590875940273,0.8388849280415006,1.1645168283059928,0.9965381070257481,0.8132435485983021,1.007512540900861
RLE_PEAKS,1191,158,8348,309,0.11712379540400296,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9228586070434968,1.1216763326671786,1.2106249412683754,0.8635179736723784,1.1874697757886794,1.020068220292447,0.8374348194335479,1.0330876844799641
LIB_BINS,1139,101,8405,361,0.0814516129032258,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9895520759485462,1.0214496546084737,1.0313097637136905,0.983157124866984,1.0131660170023202,0.993805956948676,0.9723182742772457,0.9952411326340636
TMM_BINS,1126,99,8407,374,0.08081632653061224,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9867714763435143,1.0169866614260357,1.026022951243782,0.9814613358715956,1.015303241639259,0.9976402936792083,0.9763399166606488,0.999203025892878
RLE_BINS,1122,99,8407,378,0.08108108108108109,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9893097490107184,1.017530601714081,1.0255807893760565,0.9837652428892976,1.0174430506501224,0.9976322912513474,0.9786710333355763,1.0018288332388898
DBA_NORM_OFFSETS_ADJUST,1258,245,8261,242,0.16300731869594146,1500,10006,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,1146,52,8301,354,0.04340567612687813,1485,9838,1500,1,0.15000000000000002,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1501,142,7861,499,0.08642726719415703,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.725163049573878,0.6562996546652926,0.9012414749883468,1.1979179085976777,1.1105101686006182,1.0029470241749936,1.125862406095964,1.5520584723683375
LIB_PEAKS,1783,325,7678,217,0.15417457305502846,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7860060958400225,0.7213876828351301,0.9577693155920122,1.2545639239722708,0.9907772602541799,0.9093315226847155,1.0176154956336996,1.3625487031879697
TMM_PEAKS,1608,150,7853,392,0.08532423208191127,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.742251433455214,0.6801639812452693,0.9036719766627697,1.1602599485948188,1.0572450493423737,0.9689900408349259,1.0791792493200658,1.4543302052107048
RLE_PEAKS,1611,148,7855,389,0.08413871517907902,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7762835412211261,0.7095580887525514,0.9360695292516368,1.1966664305941925,1.091124561528524,0.9993286540311332,1.117927920177157,1.5048697396476147
LIB_BINS,1750,541,7462,250,0.23614142295940638,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9744133260289342,0.9664781853701427,0.9941682826816363,1.0298777031431217,1.0003488621473577,0.9888742934055943,1.002415987978344,1.0434233592448692
TMM_BINS,1741,490,7513,259,0.21963245181532945,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9746707776178736,0.9661876836933226,0.9916984622153687,1.0209377731559826,1.0032650529049807,0.9921206522514201,1.0070840133826806,1.043849069257814
RLE_BINS,1742,515,7488,258,0.22817899867080194,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9750848097472664,0.9690621941120736,0.9931705226746693,1.0244941859389347,1.0044938634817426,0.9922226801865038,1.0053675438720253,1.0452699387831534
DBA_NORM_OFFSETS_ADJUST,1725,249,7754,275,0.12613981762917933,2000,10003,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,1538,60,7776,462,0.03754693366708386,1968,9804,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1960,185,7318,540,0.08624708624708624,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7395707980035204,0.9393632792887432,0.8288270948325857,0.7915323295023478,1.54641992238383,1.1240025281772512,1.0318491035215545,1.223328666999303
LIB_PEAKS,2290,496,7007,210,0.1780330222541278,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8163856038397451,1.0220347368601288,0.9220002216901259,0.8758508259759548,1.3496801263813953,0.9986743651416609,0.92566802174005125,1.0897060983709381
TMM_PEAKS,2067,180,7323,433,0.0801068090787717,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.760118486374092,0.9370502395154263,0.8495353415141129,0.808248624806086,1.4573156655793218,1.0817596276504198,1.006917494652596,1.1800289886763675
RLE_PEAKS,2088,183,7320,412,0.08058124174372523,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7852783311253255,0.9639076693558736,0.8767922980735967,0.8339748982618849,1.481670902476892,1.1156621116962182,1.0229405205772208,1.1979519823831948
LIB_BINS,2349,1390,6113,151,0.3717571543193367,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.976510599541376,1.0025488892755634,0.9910311213672206,0.9851780325973246,1.0433163674524721,0.9992182868657591,0.9919198720191195,1.0102768308811647
TMM_BINS,2347,1329,6174,153,0.36153427638737756,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9749422012158772,0.9981158679854003,0.9880443352276009,0.9848298536261908,1.0442814067401696,1.0022703788891938,0.9942154271073652,1.0134387511465792
RLE_BINS,2348,1321,6182,152,0.360043608612701,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9761182551835947,0.9987718544849651,0.9904710684427831,0.9849086701169776,1.046148682114217,1.002891899889145,0.9961643932658606,1.0154411243400838
DBA_NORM_OFFSETS_ADJUST,2232,386,7117,268,0.14744079449961803,2500,10003,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,2004,79,7275,496,0.037926068170907344,2468,9822,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,2411,160,6843,589,0.062232594321275765,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.155795694740263,1.061988563760608,1.0095798268559435,0.7982075405086856,0.7626588907894253,1.1118440121263091,1.1793399803117903,1.010949302148939
LIB_PEAKS,2755,614,6389,245,0.18224992579400415,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2565733650994926,1.1560164382351779,1.102212930806696,0.890619059161681,0.6948218879803716,0.9767050592679565,1.0303979237956726,0.892653335652952
TMM_PEAKS,2484,175,6828,516,0.06581421587062805,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1440409579511082,1.0604538302685285,1.001970803250182,0.8127331943112112,0.7584071178000552,1.0703794955088448,1.1310020755713461,0.981282594585258
RLE_PEAKS,2512,182,6821,488,0.06755753526354863,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.180102644087466,1.0970871476747046,1.0353239656186959,0.8407883736338505,0.7777198746834159,1.0961042490939075,1.1583258646159602,0.99594423708746
LIB_BINS,2366,122,6881,634,0.04903536977491962,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0306523958934781,1.017157693419299,1.0129319933399443,0.986355059890951,0.9624059210591253,0.9977362179289894,1.0043000501007049,0.9884606683675081
TMM_BINS,2374,108,6895,626,0.043513295729250605,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0238250222831848,1.0108606838993608,1.0070083444519966,0.9827191941880485,0.9674948046364114,1.0038945835306243,1.0084739428162326,0.9952449555333611
RLE_BINS,2379,109,6894,621,0.043810289389067524,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0253178530201366,1.0135054520458002,1.010137593542089,0.9857843350907016,0.9698361848485957,1.0033499860767439,1.0089993370489052,0.9952985729167273
DBA_NORM_OFFSETS_ADJUST,2726,596,6407,274,0.1794099939795304,3000,10003,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,2381,79,6756,619,0.03211382113821138,2951,9786,3000,1,0.3,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,2772,194,6310,728,0.06540795684423466,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8980323226304009,0.7336405671618171,0.889923700491266,0.8731743576926413,1.2994435457688165,1.306735340725614,1.1063897250370307,1.0397232609015066
LIB_PEAKS,3280,796,5708,220,0.19528949950932287,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.018625791036947,0.8524515021659108,1.001982379799458,0.990736434179782,1.1296897172192921,1.1268349268970639,0.9693295920382888,0.9103496566632575
TMM_PEAKS,2928,193,6311,572,0.061839154117270104,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9203663309096037,0.763697954722322,0.9059802407623159,0.8935407802973042,1.2522535027224866,1.257268700882808,1.0696082334382038,1.0105113499171243
RLE_PEAKS,2970,217,6287,530,0.06808911201757138,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9443868813500711,0.7872495003647724,0.9240853192356883,0.9190482375076374,1.269404108601864,1.270725451064307,1.078105930948607,1.0156895066179628
LIB_BINS,3289,1045,5459,211,0.24111675126903553,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0022618711320197,0.9817888482486916,0.9990363442007544,0.9970598783850838,1.0179348778507988,1.017390295752959,0.9966903474717441,0.9878375369579485
TMM_BINS,3288,999,5505,212,0.2330300909727082,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9978369503507183,0.9792329437498933,0.9946120152566134,0.9937530676134069,1.0211935361350468,1.0197730992620757,1.0010347137932605,0.9926969031395771
RLE_BINS,3289,994,5510,211,0.23208031753443847,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9975395393868921,0.9819652515948594,0.9949933520266265,0.9943662490891465,1.0238871451596907,1.021044209055533,1.0030246991343215,0.9947701458830331
DBA_NORM_OFFSETS_ADJUST,3221,682,5822,279,0.17473738150140916,3500,10004,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,2834,98,6282,666,0.03342428376534789,3469,9849,3500,1,0.35000000000000003,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
