technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,75,13,9402,425,0.14772727272727273,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1177154724608884,1.0502642956160333,0.6309045399522205,1.3502260509659734
LIB_PEAKS,68,20,9395,432,0.22727272727272727,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0846337017179593,1.0176279236548451,0.6315614082928411,1.2661769663343547
TMM_PEAKS,76,15,9400,424,0.16483516483516483,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0808558679222,1.0219808481724808,0.6322285125821779,1.2638556770231877
RLE_PEAKS,72,15,9400,428,0.1724137931034483,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1290438381805303,1.0654308268047392,0.659756407096685,1.3184733601297083
LIB_BINS,0,0,9415,500,NA,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0917060480972027,1.0808586859974343,0.8743030285439233,0.9531322373614397
TMM_BINS,5,2,9413,495,0.2857142857142857,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0933984335184102,1.0807547738169785,0.8741349334795689,0.9519314787112134
RLE_BINS,0,0,9415,500,NA,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0999824621041916,1.0893313116754828,0.8798614959424638,0.9561693923250077
DBA_NORM_OFFSETS_ADJUST,69,20,9395,431,0.2247191011235955,9914,500,0.998,0.9908,6.052047609441194e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
MAnorm2,11,3,9412,489,0.21428571428571427,9914,500,0.998,0.991,4.0346984062941297e-4,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
Oracle,177,37,8873,823,0.17289719626168223,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.7383932327230965,1.266109331030048,1.1483289532978145,0.9314826450201076
LIB_PEAKS,170,41,8869,830,0.1943127962085308,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.7379097277514235,1.2133009721729706,1.1230889407797455,0.9257003592958604
TMM_PEAKS,169,37,8873,831,0.1796116504854369,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.7411134378131771,1.2101619371047845,1.1221703907535132,0.9248459133082598
RLE_PEAKS,167,36,8874,833,0.17733990147783252,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.7641919975546893,1.2407620340112668,1.1570106517620251,0.9507517691644171
LIB_BINS,63,4,8906,937,0.05970149253731343,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8895689580506395,0.9454407083080115,1.0939533120525802,1.0710370215887688
TMM_BINS,68,4,8906,932,0.05555555555555555,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.889921414376518,0.9440178170597167,1.093962813900626,1.0722172250954964
RLE_BINS,63,4,8906,937,0.05970149253731343,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8926638486761961,0.948688102241927,1.1002462060859775,1.0772498044300947
DBA_NORM_OFFSETS_ADJUST,210,38,8872,790,0.1532258064516129,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA
MAnorm2,17,1,8909,983,0.05555555555555555,9908,1000,0.998,0.9901,7.064997981429148e-4,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA
Oracle,312,30,8362,1188,0.08771929824561403,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.1100084594896806,1.1930112355822835,0.6441404857965579,1.1723264971796994
LIB_PEAKS,306,35,8357,1194,0.10263929618768329,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0806548635584596,1.1534888265682914,0.64840583010207,1.117450479771179
TMM_PEAKS,312,34,8358,1188,0.09826589595375723,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.083389716921236,1.1570819930168492,0.6489006473986809,1.1103209907665152
RLE_PEAKS,278,31,8361,1222,0.10032362459546926,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.121060883682591,1.1996801923267881,0.6719093086002372,1.1477513123922694
LIB_BINS,82,8,8384,1418,0.08888888888888889,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.088039017933657,1.1000962008321895,0.8768810994043351,0.9349836818298184
TMM_BINS,80,8,8384,1420,0.09090909090909091,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0886039624753667,1.1006134757548833,0.8772729535740804,0.9336420384701013
RLE_BINS,80,8,8384,1420,0.09090909090909091,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0959901290528102,1.1063813401310003,0.881699684607973,0.9384122181540666
DBA_NORM_OFFSETS_ADJUST,347,32,8360,1153,0.08443271767810026,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
MAnorm2,0,0,8392,1500,NA,9892,1500,1,0.988,0.001213101496158512,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA
Oracle,483,32,7828,1517,0.062135922330097085,9857,2000,0.9985,0.9849,8.11605965303845e-4,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.8089118425826284,0.9134257709126954,1.163877466873933,1.1628355108378918
LIB_PEAKS,478,28,7832,1522,0.05533596837944664,9857,2000,0.9985,0.9849,8.11605965303845e-4,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.8250020847424648,0.920411603749708,1.126917658280719,1.1276686532271083
