technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,186,39,9355,314,0.17333333333333334,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9187067351530248,0.9471190768246952,0.9967894780265388,1.2712399119086537,1.0258413718496306,0.8841121133455957
LIB_PEAKS,178,38,9356,322,0.17592592592592593,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9102376299778326,0.9352764916857702,0.9796054889700211,1.2472541889148925,1.0285384109713482,0.899087789480135
TMM_PEAKS,185,38,9356,315,0.17040358744394618,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9096131100383509,0.9359388809172761,0.977950351378226,1.2441327684247887,1.0293565288816648,0.9021319003611427
RLE_PEAKS,182,38,9356,318,0.17272727272727273,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9313051394301939,0.9547303604721594,0.9975216408002331,1.2711594313649552,1.049006946917051,0.9222478406133979
LIB_BINS,157,27,9367,343,0.14673913043478262,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9089639676041285,0.9131385922170744,0.9167659326379173,1.1112624244939369,1.083068639762797,1.0668004432841462
TMM_BINS,157,27,9367,343,0.14673913043478262,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9090465447585475,0.9132868439720565,0.9172770967230014,1.1105754682380107,1.0838744027898253,1.0658024695162718
RLE_BINS,163,31,9363,337,0.15979381443298968,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.914897321639936,0.9184215275048643,0.9205670168163054,1.1166077795440907,1.0899375179934232,1.0726047510982673
DBA_NORM_OFFSETS_ADJUST,174,38,9356,326,0.1792452830188679,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,23,3,9391,477,0.11538461538461539,9893,500,0.998,0.9893,0,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA
Oracle,441,42,8731,559,0.08695652173913043,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8612862959996079,0.9888167550442232,1.276295594180661,0.91232125468684,0.8894663318217104,1.1337259030558884
LIB_PEAKS,475,31,8742,525,0.06126482213438735,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8592103655675619,0.9704688266320581,1.23554824510927,0.9168863636766036,0.9026174191252371,1.115268779889269
TMM_PEAKS,458,38,8735,542,0.07661290322580645,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8572940089043659,0.9694780563774399,1.2350986915467397,0.915986231447717,0.9036835872273489,1.1190894475317357
RLE_PEAKS,457,36,8737,543,0.07302231237322515,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8741637124019301,0.9892900284096334,1.2605985228748668,0.9386760895389966,0.9219638810955109,1.1468827255369816
LIB_BINS,314,125,8648,686,0.2847380410022779,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9033039441751997,0.9173090656137091,0.9474885967170523,1.069671288910621,1.0682305793245492,1.093996525258869
TMM_BINS,318,132,8641,682,0.29333333333333333,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9030590145975657,0.9158985883293805,0.9461752830208999,1.0701253074202506,1.0700209494358326,1.095198487851257
RLE_BINS,317,127,8646,683,0.28603603603603606,9770,1000,0.997,0.977,0,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9078738824147726,0.9209471252543016,0.949592967174903,1.076079810715595,1.0744267503449563,1.1003166484878522
