technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,288,23,9483,212,0.07395498392282958,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.8815197992948551,1.1901850927844215,1.2406777884806568,0.7929483243948021,1.2287513402175692,0.7707779243118441,1.085114391189942,0.9427156872941788
LIB_PEAKS,285,25,9481,215,0.08064516129032258,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.8889445871712931,1.1633431357508788,1.2063153209409456,0.8077403326868011,1.189238995807984,0.7737739835723678,1.0460924893987202,0.9245511546710092
TMM_PEAKS,285,26,9480,215,0.08360128617363344,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.8906508254234065,1.1626391580789754,1.2053033756178309,0.8115543880762217,1.1854303133511608,0.7736722964195086,1.0444002057767734,0.92434262629431
RLE_PEAKS,290,28,9478,210,0.0880503144654088,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9147031052543424,1.1972300682763515,1.2480633980705493,0.8346108386956951,1.2229502307472462,0.7938784659855321,1.0740142612145254,0.9517105203649752
LIB_BINS,259,20,9486,241,0.07168458781362007,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0694192002610892,1.097235059462293,1.1039881340676334,1.0604681987161804,0.9392616292022061,0.8949692280909046,0.9245144068251023,0.9101441433745912
TMM_BINS,259,20,9486,241,0.07168458781362007,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0718606985052919,1.0973230517469275,1.1047565453848465,1.0622331024152776,0.9380269461911516,0.8938017539724741,0.9228738960753281,0.9098506527301987
RLE_BINS,259,20,9486,241,0.07168458781362007,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0772028670505172,1.1037005791888312,1.111239452572808,1.066890672308304,0.9423619971730611,0.8992490192652789,0.9287041927478263,0.9150495876912998
DBA_NORM_OFFSETS_ADJUST,285,25,9481,215,0.08064516129032258,500,10006,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,90,2,9320,410,0.021739130434782608,493,9815,500,1,0.05,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,526,79,8924,474,0.1305785123966942,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9035675172515588,0.9200659240701878,1.028805216419055,1.202254276762987,1.086836661690102,0.8312098691331311,0.935639836078349,1.1505547255464854
LIB_PEAKS,539,77,8926,461,0.125,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8965872270295514,0.9123086659947024,1.009922591882696,1.1725229131994093,1.0802967221007116,0.8467633020972136,0.9430266880396976,1.138571889656018
TMM_PEAKS,534,76,8927,466,0.12459016393442623,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.8969814390107465,0.9102346185832205,1.0074364486574592,1.177548209949571,1.081096615761735,0.8492906763536858,0.9450100654536849,1.131990653178668
RLE_PEAKS,538,74,8929,462,0.12091503267973856,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9118202433680227,0.9285893478644779,1.034935656535194,1.1984228937897663,1.1044937594034079,0.869739393477162,0.9636842974251015,1.1565274136131933
LIB_BINS,512,96,8907,488,0.15789473684210525,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9077857239397474,0.9096057617180463,0.9208821888109378,0.9382658899262531,1.0878274175516764,1.0650524576733575,1.0752226935994367,1.0953578667805448
TMM_BINS,495,118,8885,505,0.19249592169657423,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9079860308659256,0.9098530124204357,0.9197946246759473,0.9373919707245818,1.0883945573017482,1.0658756553044841,1.0767093156984076,1.0942035763051454
RLE_BINS,510,96,8907,490,0.15841584158415842,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9131916550743869,0.9144690252261761,0.9251983857643226,0.9411926881350092,1.0943626006776799,1.0705471373486688,1.0804476982292275,1.100066851754277
DBA_NORM_OFFSETS_ADJUST,527,74,8929,473,0.12312811980033278,1000,10003,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,281,11,8855,719,0.03767123287671233,988,9854,1000,1,0.1,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,933,65,8437,567,0.06513026052104208,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,1.1253067863585482,0.784844469266093,0.9597154930313454,1.1766993846404494,0.938948020330776,1.0281559730180847,0.8150852727887368,1.2741889308369714
LIB_PEAKS,910,69,8433,590,0.07048008171603677,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,1.0843699982830168,0.7881193272543787,0.9461932453838071,1.1397669106892472,0.9419799058658708,1.0259349468880685,0.8289320388808105,1.2447036267548004
TMM_PEAKS,905,74,8428,595,0.0755873340143003,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,1.0838838582099148,0.7898614730512721,0.9446577202499981,1.1351022590781008,0.9418368014215871,1.0267875257224326,0.830931508938884,1.2457964496227332
RLE_PEAKS,903,73,8429,597,0.07479508196721311,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,1.1129614962639922,0.8079029009424511,0.9736311864589455,1.162453845973455,0.9682430732498993,1.0531360840650503,0.8529067160925109,1.2781342743033501
LIB_BINS,672,135,8367,828,0.16728624535315986,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9286687794865749,0.8958209865864655,0.913489212578474,0.9358301008302964,1.0750870992075086,1.0830181445119949,1.060842028417929,1.107243648380757
TMM_BINS,667,135,8367,833,0.16832917705735662,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9289619945520406,0.8951095687273801,0.9123580629836254,0.9353002071178306,1.0752857671952067,1.0838034504478298,1.0610983720457674,1.1084988399583788
RLE_BINS,673,136,8366,827,0.1681087762669963,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,0.9329021009368583,0.9002045472457033,0.9168376891995836,0.9404492955669453,1.0809344074383647,1.0890269886885684,1.066098917270731,1.1124072105604659
DBA_NORM_OFFSETS_ADJUST,890,77,8425,610,0.0796277145811789,1500,10002,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,481,27,8323,1019,0.0531496062992126,1486,9836,1500,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1261,112,7896,739,0.08157319737800436,2000,10008,2000,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,B,0.05,1.0788797449961274,1.0331662662759613,0.8879268960443363,0.8565341858722784,0.9366016756199128,1.1716942821335976,0.948957092141209,1.1327107267541945
