technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condA_rep5,condA_rep6,condA_rep7,condA_rep8,condA_rep9,condA_rep10,condB_rep1,condB_rep2,condB_rep3,condB_rep4,condB_rep5,condB_rep6,condB_rep7,condB_rep8,condB_rep9,condB_rep10
Oracle,435,45,9455,65,0.09375,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0083125332321938,1.1629782590490467,1.0130175333903058,0.8970942737873565,1.0262891047155367,1.2277645037977878,0.6855491403267557,1.0207083385492668,1.0333289208465068,0.9636788802153814,0.8064198461058333,0.8084787499026865,1.1495344336313524,1.0500934999722,1.1525285055269827,1.3093382805186131,0.8928829295439222,0.9601348105982856,0.980463827268507,1.070632929736716
LIB_PEAKS,436,45,9455,64,0.09355509355509356,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9973557762060501,1.1415006196584268,1.0005668874565006,0.8958121635392964,1.0103082346421601,1.2021217866117715,0.7026804815238902,1.0081205049133755,1.0202106866111949,0.956402207977671,0.8148167336975461,0.8151773887239651,1.1203006947552248,1.0377985690416838,1.1259540080627453,1.2681710863231468,0.894528817480821,0.9523562810315503,0.9749457346913613,1.0608713370516196
TMM_PEAKS,436,45,9455,64,0.09355509355509356,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0013845964652948,1.1409881721882318,0.9994530292976589,0.8935557790286778,1.0106227886493835,1.1989655140181177,0.7055560485849071,1.0040884440207993,1.0143102940102635,0.9604175695218552,0.8124900912948857,0.8141037599375903,1.1191319751222801,1.0367846488641292,1.1267171704868932,1.2713443927775854,0.8975220179477985,0.9586389283848351,0.9719369185761436,1.0609802152007324
RLE_PEAKS,435,43,9457,65,0.0899581589958159,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.025760413261552,1.172129740796951,1.0312415346957449,0.9251981198473629,1.0430228417471552,1.2399666916545005,0.7288762666889871,1.0388634821371618,1.040578173930382,0.9860998372177304,0.8354388300333049,0.8344701672694659,1.1550455614480535,1.0645809308906238,1.160035148082569,1.297723223028949,0.9208847717143588,0.978236909731817,1.0071927682231447,1.0959298857283404
LIB_BINS,413,27,9473,87,0.06136363636363636,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0019596868636003,1.0164185430385335,1.0016243593852068,0.98844971096957,1.0007532561765087,1.025464705699927,0.964936619070052,0.9996947003785971,1.002604350494992,0.9942264799426221,0.976236150881613,0.97679594889751,1.0139080172901385,1.0051349604493742,1.0139062451543162,1.0327292811478714,0.9864621621927621,0.9959401352828796,0.9970463418440156,1.0057083448399098
TMM_BINS,413,27,9473,87,0.06136363636363636,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.001744014982458,1.0167741515253363,1.0020804688534686,0.9889445067059056,1.0013254173968986,1.0249383200392228,0.9642373785374381,0.9999933642474844,1.0037165662890846,0.9939119220515235,0.9769715936265236,0.9763803129070934,1.0150987393496695,1.0058058545688124,1.0140170026753963,1.0315621689626588,0.9863135489246558,0.9952874976301317,0.9959647057008066,1.0049345355226005
RLE_BINS,413,27,9473,87,0.06136363636363636,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.005276713746328,1.017252714689929,1.0060913207266147,0.9915570780599695,1.0025957328690114,1.0265130724196083,0.9658104372310409,1.0008947522389853,1.0060091416867798,0.9968583982561801,0.9791236361392882,0.9792294949889938,1.0137336711708942,1.0085796253637442,1.0163588127148204,1.0334126977729374,0.9897292060868579,0.9977661596690024,0.9985130632040503,1.0077063466435912
DBA_NORM_OFFSETS_ADJUST,435,45,9455,65,0.09375,500,10000,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,401,16,9132,99,0.03836930455635491,484,9632,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,897,81,8919,103,0.08282208588957055,1000,10000,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1928151613341518,0.8564927991450862,0.8647520558271206,0.9421336102682556,0.9285530715698052,1.2683979573734894,1.0826341738745622,1.2032286760514492,0.7078816854739557,1.2330203803666662,0.787646304497283,1.09144127585076,1.1331684560465425,0.995714734403398,0.6645848764403661,1.1028421452468635,0.890331877485569,1.1133768750892128,1.160219186943415,1.097278666663992
