technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
Oracle,77,14,9431,423,0.15384615384615385,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9554900795622724,1.2582342830705848,0.8394034219330623,0.9909267860589293
LIB_PEAKS,77,14,9431,423,0.15384615384615385,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.947421592127779,1.2283418109201178,0.8448282238082911,0.9794083731438119
TMM_PEAKS,77,14,9431,423,0.15384615384615385,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9534999482595535,1.2239589847012051,0.8429223504234689,0.9788578587335707
RLE_PEAKS,78,11,9434,422,0.12359550561797752,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9690037595090911,1.2524045868068188,0.8585250920541218,0.9966600751260231
LIB_BINS,58,17,9428,442,0.22666666666666666,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9925462762843276,1.0318474088329255,0.9778385432340598,0.9977677716486871
TMM_BINS,60,14,9431,440,0.1891891891891892,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9930852826217039,1.0303068999808445,0.9785124969049779,0.9980294008904194
RLE_BINS,60,14,9431,440,0.1891891891891892,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9940514999263911,1.0327230957226219,0.979931946183557,0.9999974658774332
DBA_NORM_OFFSETS_ADJUST,81,14,9431,419,0.14736842105263157,9945,500,1,0.994,5.027652086475615e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,21,6,9440,479,0.2222222222222222,9946,500,1,0.994,6.032575909913533e-4,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,203,27,8880,797,0.11739130434782609,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.2022662264795416,1.3085072003061728,0.8142898817630375,0.7806281309686498
LIB_PEAKS,191,30,8877,809,0.13574660633484162,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1542624000539223,1.252605548955674,0.8141845495370253,0.7789475014533782
TMM_PEAKS,193,30,8877,807,0.13452914798206278,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1564093963023643,1.2465586276811804,0.8138310624168176,0.7816122234412458
RLE_PEAKS,181,24,8883,819,0.11707317073170732,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.195338050769107,1.2910106149625096,0.8458338578813188,0.8075847048097524
LIB_BINS,294,290,8617,706,0.4965753424657534,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0179513124526314,1.0309216359645446,0.9773568288591338,0.9737702227236904
TMM_BINS,295,294,8613,705,0.499151103565365,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0177911488838316,1.030061342912016,0.978237339102598,0.973859506981014
RLE_BINS,294,294,8613,706,0.5,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0194713424903263,1.0320547218113818,0.9804360781627769,0.9747485809364846
DBA_NORM_OFFSETS_ADJUST,209,28,8879,791,0.11814345991561181,9906,1000,0.999,0.9891,0.0015142337976983646,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,1,0,8907,999,0,9906,1000,0.999,0.9892,0.001413284877851807,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,375,35,8443,1125,0.08536585365853659,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9887216145625872,0.9868557211350788,0.9773425816137888,1.0486377491364414
LIB_PEAKS,374,36,8442,1126,0.08780487804878048,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9872228332956509,0.9823805988801029,0.9835665738323417,1.0468299939919046
TMM_PEAKS,367,36,8442,1133,0.08933002481389578,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9858289870889365,0.9823732615475235,0.9838065455940843,1.048062210774352
RLE_PEAKS,373,35,8443,1127,0.0857843137254902,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9954264728102452,0.9936399788753083,0.9960356966858328,1.055537422285823
LIB_BINS,390,33,8445,1110,0.07801418439716312,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9959551826728492,0.9975472318405991,0.9975335917427458,1.0089639937438057
TMM_BINS,390,34,8444,1110,0.08018867924528301,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9958358525109456,0.9971077025382452,0.9984345304421,1.0086187554947357
RLE_BINS,389,33,8445,1111,0.07819905213270142,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9978551729134714,0.9981444803937568,0.9998108494524311,1.009823887689523
DBA_NORM_OFFSETS_ADJUST,361,36,8442,1139,0.0906801007556675,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,4,0,8478,1496,0,9977,1500,0.9993333333333333,0.9974,3.0069159065851457e-4,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,388,22,7815,1612,0.05365853658536585,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1441440442536452,0.9982700991817726,1.181111566458882,0.7412766329325898
LIB_PEAKS,393,26,7811,1607,0.06205250596658711,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1244740510707252,0.9825582748240491,1.1378689575369618,0.7550987165682639
TMM_PEAKS,406,21,7816,1594,0.04918032786885246,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.119527436389128,0.9813858491817996,1.142720636162086,0.7561172286156602
RLE_PEAKS,388,22,7815,1612,0.05365853658536585,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1493574417040182,1.0056087305734147,1.165883123007441,0.7778235677812018
LIB_BINS,234,9,7828,1766,0.037037037037037035,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0139310282481555,0.9963192153287905,1.0161916692204165,0.9735580872026375
TMM_BINS,233,9,7828,1767,0.0371900826446281,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0130597105432622,0.9970076861036818,1.0163614612425835,0.9735599051454086
RLE_BINS,228,9,7828,1772,0.0379746835443038,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0159169612155516,0.9978853885499949,1.0183215611205925,0.9757101834371131
DBA_NORM_OFFSETS_ADJUST,387,21,7816,1613,0.051470588235294115,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,1,0,7837,1999,0,9831,2000,0.997,0.9822,9.1547146780592e-4,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,569,37,7346,1931,0.06105610561056106,9877,2500,0.9976,0.98740000000000006,3.037359522122102e-4,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9038537485720864,1.001318140843207,1.178866072657178,0.937271223001598
LIB_PEAKS,591,40,7343,1909,0.06339144215530904,9877,2500,0.9976,0.98740000000000006,3.037359522122102e-4,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9100909610746771,0.9920475354302691,1.1578256127794861,0.9400358907155675
TMM_PEAKS,590,39,7344,1910,0.06200317965023847,9877,2500,0.9976,0.98740000000000006,3.037359522122102e-4,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9132756496054406,0.9925673829578248,1.1564346617019676,0.9373934039171187
RLE_PEAKS,561,37,7346,1939,0.061872909698996656,9877,2500,0.9976,0.98740000000000006,3.037359522122102e-4,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9225452496373978,1.0081811581072806,1.1727383594280374,0.9538134395907671
LIB_BINS,508,35,7348,1992,0.06445672191528545,9877,2500,0.9976,0.98740000000000006,3.037359522122102e-4,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9907307464109123,0.9982733762749213,1.0194630735448538,0.9915328037693127
