technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
Oracle,186,40,9343,314,0.17699115044247787,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7689390047653109,1.2763258856803854,1.0084479281776897,0.8636756487326546,1.147844581394889,1.0191997066562946
LIB_PEAKS,186,50,9333,314,0.211864406779661,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7809612558814353,1.2416042038998105,0.9961026248859085,0.8592363905006337,1.1177243875594811,1.0043711372727304
TMM_PEAKS,189,42,9341,311,0.18181818181818182,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7770492899706378,1.241613488329067,0.9947761359804341,0.8629323477442558,1.11929584246699,1.0050238602392705
RLE_PEAKS,189,40,9343,311,0.17467248908296942,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8025969095674349,1.2734785051000572,1.0206748163407988,0.8872453730438796,1.1454699727478805,1.032751667437265
LIB_BINS,137,13,9370,363,0.08666666666666667,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9706411539866114,1.033046187545954,1.0001351299844248,0.9811380954816481,1.0140982142188146,1.0009412187825466
TMM_BINS,134,15,9368,366,0.10067114093959731,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9700547662629373,1.0329775297908812,1.0003217303019114,0.9809690535934726,1.0147316200394758,1.0009733635421592
RLE_BINS,137,13,9370,363,0.08666666666666667,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9719905489103727,1.0348934113347634,1.000992662728469,0.9832461395386171,1.0160672072208148,1.0020540304099035
DBA_NORM_OFFSETS_ADJUST,184,42,9341,316,0.18584070796460178,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,38,3,9380,462,0.07317073170731707,9882,500,0.998,0.9882,0,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,429,43,8747,571,0.09110169491525423,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9517976496765006,0.9174371479707288,1.1590018759673415,0.9374185554970296,1.0779162830524025,0.9778592169442284
LIB_PEAKS,429,44,8746,571,0.09302325581395349,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.946615088718987,0.9247906884694852,1.1405677067359148,0.9341700343515539,1.0709154507235585,0.9829410310005002
TMM_PEAKS,429,44,8746,571,0.09302325581395349,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9469176435679655,0.9237921356420677,1.142936234306639,0.9346300474036934,1.0705532852491983,0.9814993687998124
RLE_PEAKS,429,44,8746,571,0.09302325581395349,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9654368952282782,0.9408645550115541,1.1575271898971955,0.9515648105578628,1.0894745514090158,0.9967589152367675
LIB_BINS,414,44,8746,586,0.09606986899563319,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.993065005128283,0.9904661255521705,1.0179118449733513,0.9911209893917664,1.0087206034639529,0.9987154314904765
TMM_BINS,413,44,8746,587,0.0962800875273523,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9927121023563573,0.9895705063386993,1.017880614854109,0.991519283802065,1.0095411233873932,0.9987912200001227
RLE_BINS,413,44,8746,587,0.0962800875273523,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9943780194610324,0.992728132705297,1.0196449951443696,0.9927443924608315,1.0109845586184028,1.0002567888506997
DBA_NORM_OFFSETS_ADJUST,430,44,8746,570,0.09282700421940929,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,62,3,8787,938,0.046153846153846156,9789,1000,0.999,0.9789,0,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,705,67,8286,795,0.08678756476683938,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.149994497049548,1.0037573089817786,0.8773913107069771,0.9519242286020576,1.0107132451826315,1.0262468812770922
LIB_PEAKS,704,68,8285,796,0.08808290155440414,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1304137691504221,0.9992364092335745,0.887969231633599,0.9508352252848142,1.005654785466748,1.025890579230842
TMM_PEAKS,708,68,8285,792,0.08762886597938144,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1345432569211393,1.000025780888348,0.8842616156067171,0.9497839988788418,1.0061638793990708,1.0262477915350754
RLE_PEAKS,702,68,8285,798,0.08831168831168831,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1516457413680354,1.0193722948884452,0.898656717508125,0.9686411149930602,1.025173753554788,1.041715993811505
LIB_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0171947957930403,0.9999009909243438,0.9879924231204412,0.9929166502063392,1.0004794279733358,1.0015157119825002
TMM_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0171769016186123,1.001014834802223,0.988191574220324,0.991613602638908,0.9994480130482312,1.00256521315076
RLE_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0181019911694238,1.0018210415152338,0.9886873076939643,0.9942216035490309,1.0021832864038758,1.0022050977861843
DBA_NORM_OFFSETS_ADJUST,710,68,8285,790,0.08740359897172237,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
