technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
Oracle,278,31,9477,222,0.10032362459546926,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.992747798216337,0.9075605488741192,1.1939762816902146,0.9600861463920576,1.314662762890845,1.2017089989967813,0.6395560861555458,0.9582685702788226
LIB_PEAKS,277,30,9478,223,0.09771986970684039,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9734650417212555,0.898352981526272,1.1597873293984913,0.9454118157020693,1.2597509280753745,1.1609528956924497,0.6586825073882921,0.9435965004957956
TMM_PEAKS,271,31,9477,229,0.10264900662251655,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9711021801043628,0.9021965538332811,1.1549957490917,0.9443528342907974,1.2589107046542636,1.163291254556549,0.6593087180998771,0.944659990501103
RLE_PEAKS,280,30,9478,220,0.0967741935483871,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.003955523221833,0.9316983152642065,1.1979426636919932,0.9713995841089704,1.3040463439364727,1.201055578079504,0.682065462828603,0.9740325061089377
LIB_BINS,244,11,9497,256,0.043137254901960784,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9936821313030649,0.9862231823041459,1.0206740306056774,0.9945105750574351,1.032130590120631,1.0205463655514961,0.9580139336654447,0.9942191913921049
TMM_BINS,262,10,9498,238,0.03676470588235294,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.994574675680275,0.9864486993485698,1.0215585578720459,0.9954067022904117,1.030714042344765,1.019518246639194,0.9591525172060257,0.992530635557288
RLE_BINS,261,10,9498,239,0.03690036900369004,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9949641005612878,0.9883122924570764,1.020839562875272,0.9972085255973416,1.032086206424166,1.0207150932074112,0.9589952770882073,0.9948767408707032
DBA_NORM_OFFSETS_ADJUST,274,30,9478,226,0.09868421052631579,500,10008,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,69,0,9335,431,0,496,9831,500,1,0.05,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,569,54,8952,431,0.08667736757624397,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7848512808661301,1.1205676283313406,0.9720077482214198,1.011164376345329,0.9767090704223594,1.236935784820559,0.8264224012644722,1.1586936132413486
LIB_PEAKS,551,55,8951,449,0.09075907590759076,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7981260923271797,1.1016024424617037,0.9559965287262407,1.0042404654794395,0.9693768870216423,1.2053074712157434,0.8336703885360942,1.1316797242319565
TMM_PEAKS,550,56,8950,450,0.0924092409240924,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7953710610839925,1.0986622852270007,0.957614888261758,1.0064939883444577,0.9707815352872284,1.2061093711811757,0.8340795712438611,1.131220043376295
RLE_PEAKS,566,54,8952,434,0.08709677419354839,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8178942242141787,1.1272293935231132,0.9814336362650934,1.0292658254706288,0.9909164707824952,1.2376137031388899,0.8550239857832183,1.161338067352786
LIB_BINS,423,46,8960,577,0.09808102345415778,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9776372926517148,1.0113042643842352,0.9943721920779249,1.0008713593250103,0.9962774692543458,1.024565429930853,0.9808355002431187,1.014136492132797
TMM_BINS,470,45,8961,530,0.08737864077669903,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.978998693812408,1.010595049209481,0.9939502990771231,1.0008809492549975,0.9975552105574026,1.0234617424745749,0.9802604207996914,1.0142453645941725
RLE_BINS,411,45,8961,589,0.09868421052631579,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9799598002614442,1.0121529585894153,0.9966155865682818,1.0015421134433529,0.9963175368497408,1.0261807547170354,0.9815541359074099,1.016229983326688
DBA_NORM_OFFSETS_ADJUST,571,54,8952,429,0.0864,1000,10006,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,218,8,8832,782,0.035398230088495575,989,9829,1000,1,0.1,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
